playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,actionPosX1,actionPosX2,actionPosY1,actionPosY2,poss_duration,start_sector,end_sector,playerName,targetName,Weight
199745,LCM,ASISTENCIJA PRIJE GOLA,TOCNO DODAVANJE,CENTARSUT,40700,RCM,183,120,763.32,383.32,0.41,13,5,M. Stendera,S. Medojevic,1
77888,ST,ASISTENCIJA PRIJE GOLA,0,POVRATNA,1802,LCM,287,383,594.32,394.32,3.06,9,6,H. Seferovic,A. Meier,1
196661,RB,ASISTENCIJA PRIJE GOLA,0,CENTARSUT,1802,CAM,255,128,104.32,412.32,0.21,1,5,A. Ignjovski,A. Meier,1
77888,ST,ASISTENCIJA PRIJE GOLA,0,POVRATNA,16520,RW,1239,1192,610.32,462.32,2.28,12,12,H. Seferovic,S. Aigner,1
16520,RW,ASISTENCIJA PRIJE GOLA,0,GLAVOM,1802,CAM,1131,1131,433.32,406.32,0.15,8,8,S. Aigner,A. Meier,2
16520,RW,ASISTENCIJA PRIJE GOLA,0,POVRATNA,1802,CAM,1128,1079,530.32,465.32,1.53,12,12,S. Aigner,A. Meier,2
22870,CAM,ASISTENCIJA PRIJE GOLA,0,CENTARSUT,1770,LW,1291,1171,53.32,448.32,0.16,4,8,M. Fabian,S. Huszti,1
1770,LW,ASISTENCIJA PRIJE GOLA,0,PODVALJENA LOPTA,1802,ST,1044,1211,286.32,377.32,0.13,7,8,S. Huszti,A. Meier,1
22870,LCF,ASISTENCIJA PRIJE GOLA,0,CENTARSUT,1790,CM,1142,1227,152.32,382.32,1.46,4,8,M. Fabian,M. Russ,1
