ID,gameID,actionStartTime,actionEndTime,actionID,bindedActionID,actionOptionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,playerTeam,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,refPositionX,refPositionY,startPossTime,endPossTime,gameTimeSection,playerPositionID,targetPositionID,awayTeamSide,action_duration,poss_duration,start_sector,end_sector,ref_sector,domaci,gosti,domaciFormacija,gostiFormacija,gameDate,gameTime,stadium,referee,climate,luna,temperature,viewers,domaciID,gostiID,homeTeamFormacijaID,awayTeamFormacijaID,Pogodaka_domaci,Score_domaci,Pogodaka_gosti,Score_gosti,Assignments
6257103,6258,273.31,274.44,23,31,152,1802,PRILIKA ZA GOL,UDARAC U OKVIR,POVRATNA LOPTA,0,CAM,0,1,away,1087,1275,534.32,426.32,Label106,17.71,0,0.0,273.31,273.82,FirstHalf,9,0,left,1.13,0.51,12,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257107,6258,291.19,292.54,248,0,0,44079,NETOCNO DODAVANJE,0,0,114354,LCM,LCB,2,away,953,1069,441.32,449.32,,9.34,0,0.0,291.19,292.04,FirstHalf,15,13,left,1.35,0.85,7,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257108,6258,291.19,292.54,30,248,101,44079,UDARAC,NETOCNO DODAVANJE,LIJEVA NOGA,114354,LCM,LCB,2,away,953,1069,441.32,449.32,,9.34,0,0.0,291.19,292.04,FirstHalf,15,13,left,1.35,0.85,7,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257109,6258,291.19,292.54,30,248,198,44079,UDARAC,NETOCNO DODAVANJE,UDARAC U BLOK,114354,LCM,LCB,2,away,953,1069,441.32,449.32,,9.34,0,0.0,291.19,292.04,FirstHalf,15,13,left,1.35,0.85,7,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257110,6258,291.19,292.54,30,248,139,44079,UDARAC,NETOCNO DODAVANJE,PO ZEMLJI,114354,LCM,LCB,2,away,953,1069,441.32,449.32,,9.34,0,0.0,291.19,292.04,FirstHalf,15,13,left,1.35,0.85,7,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257111,6258,291.19,292.54,211,248,248,44079,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,114354,LCM,LCB,2,away,953,1069,441.32,449.32,,9.34,0,0.0,291.19,292.04,FirstHalf,15,13,left,1.35,0.85,7,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257146,6258,353.45,359.42,248,0,0,196633,NETOCNO DODAVANJE,0,0,79430,LB,RB,7,away,1236,1244,94.32,106.32,,1.21,0,0.0,353.45,359.08,FirstHalf,2,4,left,5.97,5.63,4,4,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257147,6258,353.45,359.42,371,248,374,196633,IZGUBLJENA LOPTA,NETOCNO DODAVANJE,IZGUBLJENA U DRIBLINGU,79430,LB,RB,7,away,1236,1244,94.32,106.32,,1.21,0,0.0,353.45,359.08,FirstHalf,2,4,left,5.97,5.63,4,4,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257151,6258,387.19,388.92,247,0,0,199745,TOCNO DODAVANJE,0,0,1802,RCM,CAM,1,away,1285,1231,53.32,343.32,,25.23,0,0.0,387.19,387.76,FirstHalf,16,9,left,1.73,0.57,4,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257152,6258,387.19,388.92,260,247,4,199745,IZVODENJE KORNERA,TOCNO DODAVANJE,CENTARSUT,1802,RCM,CAM,1,away,1285,1231,53.32,343.32,,25.23,0,0.0,387.19,387.76,FirstHalf,16,9,left,1.73,0.57,4,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257154,6258,387.19,388.92,15,247,247,199745,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,1802,RCM,CAM,1,away,1285,1231,53.32,343.32,,25.23,0,0.0,387.19,387.76,FirstHalf,16,9,left,1.73,0.57,4,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257240,6258,471.33,473.13,248,0,0,77888,NETOCNO DODAVANJE,0,0,38433,ST,RCM,3,away,933,942,383.32,377.32,,0.88,0,0.0,471.33,472.79,FirstHalf,11,16,left,1.8,1.46,7,7,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
