,playerID,targetPlayerID,playerPositionIDN,targetPositionIDN,ukupno
130,21022.0,171186.0,LCB,LB,1
131,40700.0,171186.0,RCM,LB,1
132,199745.0,1897.0,LCM,ST,2
133,39442.0,130205.0,RCB,RCM,2
134,57720.0,79410.0,ST,RW,1
135,40700.0,1897.0,RCM,ST,1
136,206102.0,171186.0,LW,LB,1
137,39442.0,171186.0,RCB,LB,1
138,206101.0,110657.0,RB,RB,2
139,206101.0,200739.0,RB,RW,1
140,196633.0,200739.0,LB,RW,1
141,5335.0,29434.0,RB,RCM,2
142,40700.0,29434.0,LCM,RCM,2
143,39442.0,196781.0,RCB,LW,2
144,196661.0,6045.0,RCM,LB,8
145,5335.0,202061.0,RB,LCB,8
146,21022.0,54894.0,LCB,LCM,4
147,196633.0,116414.0,LB,RW,1
148,196661.0,39381.0,RCM,RB,1
149,196661.0,156937.0,RCM,ST,4
150,203576.0,29434.0,LW,RCM,7
151,203576.0,123620.0,LW,RCB,4
152,8570.0,196781.0,GK,LW,1
153,40700.0,54894.0,LCM,LCM,1
154,196661.0,196781.0,RCM,LW,7
155,5335.0,123620.0,RB,RCB,2
156,21022.0,29434.0,LCB,RCM,2
157,1802.0,123620.0,CAM,RCB,1
158,203576.0,202061.0,LW,LCB,1
159,39442.0,123620.0,RCB,RCB,1
160,8570.0,6045.0,GK,LB,5
161,196633.0,39381.0,LB,RB,5
162,39442.0,202061.0,RCB,LCB,2
163,5335.0,116414.0,RB,RW,2
164,196633.0,123620.0,LB,RCB,4
165,203576.0,39381.0,LW,RB,3
166,196633.0,54894.0,LB,LCM,2
167,16520.0,202061.0,RW,LCB,4
168,5335.0,6045.0,RB,LB,1
169,1802.0,202061.0,CAM,LCB,1
170,196661.0,29434.0,RCM,RCM,1
171,39442.0,54894.0,RCB,LCM,1
172,5335.0,54894.0,RB,LCM,2
173,196633.0,29434.0,LB,RCM,3
174,196661.0,54894.0,RCM,LCM,3
175,8570.0,54894.0,GK,LCM,6
176,21022.0,123620.0,LCB,RCB,1
177,16520.0,196658.0,RW,GK,3
178,40700.0,39381.0,LCM,RB,1
179,196633.0,156937.0,LB,ST,1
180,8570.0,202061.0,GK,LCB,3
181,16520.0,6045.0,RW,LB,3
182,1802.0,54894.0,CAM,LCM,1
183,1802.0,196781.0,CAM,LW,1
184,203576.0,102535.0,LW,CAM,1
185,39442.0,102535.0,RCB,CAM,1
186,77888.0,123620.0,ST,RCB,1
187,40700.0,196781.0,LCM,LW,1
188,16520.0,123620.0,RW,RCB,1
