,playerID,name,position1,position2,position3,position4,position5,position6,appearances,247,22,261,213,6,375,33,19,248,211,18,371,275,15,3,2,31,30,117,274,118,23,17,214,65,13,260,220,115,11,4,218,232,343,7,276,10,262,116,75,21,32,63,114,111,79,212,80,64,215,12,28,1,156,367,342,320,352,353,216,62,52,20,26,91,99,16,163
15,196661,A. Ignjovski,LW,RB,RCM,RW,CAM,,7,132,8,4,2,7,3,0,5,85,62,15,17,0,33,0,1,0,12,0,0,0,1,6,0,0,2,0,0,0,9,6,23,16,2,8,0,1,3,0,3,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
16,12956,C. Djakpa,LB,LW,,,,,2,17,1,0,1,1,1,0,3,12,4,0,5,0,5,1,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,102895,L. Castaignos,ST,,,,,,2,3,0,0,0,0,0,0,2,3,5,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,39442,C. Zambrano,RCB,,,,,,11,447,33,23,40,5,6,0,16,102,73,30,7,0,86,0,0,0,2,0,0,0,1,30,5,0,2,0,0,0,4,0,53,21,0,34,0,6,1,0,2,7,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0
19,205986,D. Kinsombi,RW,RCB,,,,,2,20,0,1,3,0,0,0,0,16,21,1,1,0,14,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,3,0,8,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
20,67519,V. Kadlec,RDM,RB,LW,,,,3,9,1,0,1,0,0,0,2,3,2,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,201624,K. Ayhan,LCB,,,,,,1,22,0,1,2,0,0,0,2,7,4,2,0,0,7,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
22,57720,T. Chandler,ST,RW,,,,,2,41,1,0,0,0,0,0,4,25,30,4,3,0,27,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,3,2,3,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
23,206102,J. Gerezgiher,LW,,,,,,1,3,1,1,0,1,0,0,1,5,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,214449,N. Rinderknecht,LCB,,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,143853,S. Kittel,LCM,LW,,,,,3,12,1,2,0,0,0,0,0,8,0,1,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,40700,S. Medojević,RCM,LCM,RCB,RDM,RW,,8,132,5,1,0,1,0,1,11,43,23,7,7,0,16,2,0,1,4,0,0,0,1,4,0,0,0,0,0,0,3,1,14,9,0,9,0,2,1,0,0,1,2,0,0,0,0,4,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
27,7466,A. Ben-Hatira,LCB,LCM,,,,,2,26,2,0,0,3,0,1,2,14,2,1,8,0,4,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
