id_utakmice,id_igraca,tim,domaci,gosti,id_domaci,id_gosti,broj_akcija
6462,1775,away,Borussia Mgladbach,SV Darmstadt 98,10307,10329,58
6756,1790,away,Hertha BSC,Eintracht Frankfurt,10437,10347,90
6756,1790,away,Hertha BSC,Eintracht Frankfurt,10437,10347,90
6756,1790,away,Hertha BSC,Eintracht Frankfurt,10437,10347,90
6756,1790,away,Hertha BSC,Eintracht Frankfurt,10437,10347,90
6756,1790,away,Hertha BSC,Eintracht Frankfurt,10437,10347,90
6756,1790,away,Hertha BSC,Eintracht Frankfurt,10437,10347,90
6756,1790,away,Hertha BSC,Eintracht Frankfurt,10437,10347,90
6756,1790,away,Hertha BSC,Eintracht Frankfurt,10437,10347,90
6756,1790,away,Hertha BSC,Eintracht Frankfurt,10437,10347,90
6756,1790,away,Hertha BSC,Eintracht Frankfurt,10437,10347,90
6573,1790,away,FC Augsburg,Eintracht Frankfurt,10269,10347,105
6573,1790,away,FC Augsburg,Eintracht Frankfurt,10269,10347,105
6573,1790,away,FC Augsburg,Eintracht Frankfurt,10269,10347,105
6573,1790,away,FC Augsburg,Eintracht Frankfurt,10269,10347,105
6573,1790,away,FC Augsburg,Eintracht Frankfurt,10269,10347,105
6573,1790,away,FC Augsburg,Eintracht Frankfurt,10269,10347,105
6573,1790,away,FC Augsburg,Eintracht Frankfurt,10269,10347,105
6573,1790,away,FC Augsburg,Eintracht Frankfurt,10269,10347,105
6573,1790,away,FC Augsburg,Eintracht Frankfurt,10269,10347,105
6573,1790,away,FC Augsburg,Eintracht Frankfurt,10269,10347,105
6647,1790,away,1. FC Koln,Eintracht Frankfurt,10476,10347,111
6647,1790,away,1. FC Koln,Eintracht Frankfurt,10476,10347,111
6647,1790,away,1. FC Koln,Eintracht Frankfurt,10476,10347,111
6647,1790,away,1. FC Koln,Eintracht Frankfurt,10476,10347,111
6647,1790,away,1. FC Koln,Eintracht Frankfurt,10476,10347,111
6647,1790,away,1. FC Koln,Eintracht Frankfurt,10476,10347,111
6647,1790,away,1. FC Koln,Eintracht Frankfurt,10476,10347,111
6647,1790,away,1. FC Koln,Eintracht Frankfurt,10476,10347,111
6647,1790,away,1. FC Koln,Eintracht Frankfurt,10476,10347,111
6647,1790,away,1. FC Koln,Eintracht Frankfurt,10476,10347,111
6553,1790,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,64
6553,1790,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,64
6553,1790,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,64
6553,1790,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,64
6553,1790,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,64
6553,1790,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,64
6553,1790,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,64
6553,1790,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,64
6553,1790,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,64
6553,1790,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,64
6730,1790,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,71
6730,1790,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,71
6730,1790,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,71
6730,1790,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,71
6730,1790,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,71
6730,1790,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,71
6730,1790,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,71
6730,1790,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,71
6730,1790,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,71
6730,1790,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,71
6398,1790,home,Eintracht Frankfurt,SV Darmstadt 98,10347,10329,80
6398,1790,home,Eintracht Frankfurt,SV Darmstadt 98,10347,10329,80
6398,1790,home,Eintracht Frankfurt,SV Darmstadt 98,10347,10329,80
6398,1790,home,Eintracht Frankfurt,SV Darmstadt 98,10347,10329,80
6398,1790,home,Eintracht Frankfurt,SV Darmstadt 98,10347,10329,80
6398,1790,home,Eintracht Frankfurt,SV Darmstadt 98,10347,10329,80
6398,1790,home,Eintracht Frankfurt,SV Darmstadt 98,10347,10329,80
6398,1790,home,Eintracht Frankfurt,SV Darmstadt 98,10347,10329,80
6398,1790,home,Eintracht Frankfurt,SV Darmstadt 98,10347,10329,80
6398,1790,home,Eintracht Frankfurt,SV Darmstadt 98,10347,10329,80
6450,1790,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,96
6450,1790,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,96
6450,1790,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,96
6450,1790,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,96
6450,1790,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,96
6450,1790,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,96
6450,1790,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,96
6450,1790,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,96
6450,1790,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,96
6450,1790,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,96
6770,1790,home,Eintracht Frankfurt,FC Ingolstadt 04,10347,10453,102
6609,1790,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,102
6770,1790,home,Eintracht Frankfurt,FC Ingolstadt 04,10347,10453,102
6609,1790,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,102
6770,1790,home,Eintracht Frankfurt,FC Ingolstadt 04,10347,10453,102
6609,1790,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,102
6770,1790,home,Eintracht Frankfurt,FC Ingolstadt 04,10347,10453,102
6609,1790,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,102
6770,1790,home,Eintracht Frankfurt,FC Ingolstadt 04,10347,10453,102
6609,1790,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,102
6770,1790,home,Eintracht Frankfurt,FC Ingolstadt 04,10347,10453,102
6609,1790,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,102
6770,1790,home,Eintracht Frankfurt,FC Ingolstadt 04,10347,10453,102
6609,1790,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,102
6770,1790,home,Eintracht Frankfurt,FC Ingolstadt 04,10347,10453,102
6609,1790,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,102
6770,1790,home,Eintracht Frankfurt,FC Ingolstadt 04,10347,10453,102
6609,1790,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,102
6770,1790,home,Eintracht Frankfurt,FC Ingolstadt 04,10347,10453,102
6609,1790,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,102
6681,1790,home,Eintracht Frankfurt,Hamburger SV,10347,10419,110
6681,1790,home,Eintracht Frankfurt,Hamburger SV,10347,10419,110
6681,1790,home,Eintracht Frankfurt,Hamburger SV,10347,10419,110
6681,1790,home,Eintracht Frankfurt,Hamburger SV,10347,10419,110
6681,1790,home,Eintracht Frankfurt,Hamburger SV,10347,10419,110
6681,1790,home,Eintracht Frankfurt,Hamburger SV,10347,10419,110
6681,1790,home,Eintracht Frankfurt,Hamburger SV,10347,10419,110
6681,1790,home,Eintracht Frankfurt,Hamburger SV,10347,10419,110
6681,1790,home,Eintracht Frankfurt,Hamburger SV,10347,10419,110
6681,1790,home,Eintracht Frankfurt,Hamburger SV,10347,10419,110
6370,1802,away,1. FSV Mainz 05,Eintracht Frankfurt,10388,10347,33
6370,1802,away,1. FSV Mainz 05,Eintracht Frankfurt,10388,10347,33
6370,1802,away,1. FSV Mainz 05,Eintracht Frankfurt,10388,10347,33
6370,1802,away,1. FSV Mainz 05,Eintracht Frankfurt,10388,10347,33
6370,1802,away,1. FSV Mainz 05,Eintracht Frankfurt,10388,10347,33
6370,1802,away,1. FSV Mainz 05,Eintracht Frankfurt,10388,10347,33
6370,1802,away,1. FSV Mainz 05,Eintracht Frankfurt,10388,10347,33
6370,1802,away,1. FSV Mainz 05,Eintracht Frankfurt,10388,10347,33
6370,1802,away,1. FSV Mainz 05,Eintracht Frankfurt,10388,10347,33
6370,1802,away,1. FSV Mainz 05,Eintracht Frankfurt,10388,10347,33
6370,1802,away,1. FSV Mainz 05,Eintracht Frankfurt,10388,10347,33
6647,1802,away,1. FC Koln,Eintracht Frankfurt,10476,10347,59
6647,1802,away,1. FC Koln,Eintracht Frankfurt,10476,10347,59
6647,1802,away,1. FC Koln,Eintracht Frankfurt,10476,10347,59
6647,1802,away,1. FC Koln,Eintracht Frankfurt,10476,10347,59
6647,1802,away,1. FC Koln,Eintracht Frankfurt,10476,10347,59
6647,1802,away,1. FC Koln,Eintracht Frankfurt,10476,10347,59
6647,1802,away,1. FC Koln,Eintracht Frankfurt,10476,10347,59
6647,1802,away,1. FC Koln,Eintracht Frankfurt,10476,10347,59
6647,1802,away,1. FC Koln,Eintracht Frankfurt,10476,10347,59
6647,1802,away,1. FC Koln,Eintracht Frankfurt,10476,10347,59
6647,1802,away,1. FC Koln,Eintracht Frankfurt,10476,10347,59
6258,1802,away,TSG 1899 Hoffenheim,Eintracht Frankfurt,10442,10347,63
6258,1802,away,TSG 1899 Hoffenheim,Eintracht Frankfurt,10442,10347,63
6258,1802,away,TSG 1899 Hoffenheim,Eintracht Frankfurt,10442,10347,63
6258,1802,away,TSG 1899 Hoffenheim,Eintracht Frankfurt,10442,10347,63
6258,1802,away,TSG 1899 Hoffenheim,Eintracht Frankfurt,10442,10347,63
6258,1802,away,TSG 1899 Hoffenheim,Eintracht Frankfurt,10442,10347,63
6258,1802,away,TSG 1899 Hoffenheim,Eintracht Frankfurt,10442,10347,63
6258,1802,away,TSG 1899 Hoffenheim,Eintracht Frankfurt,10442,10347,63
6258,1802,away,TSG 1899 Hoffenheim,Eintracht Frankfurt,10442,10347,63
6258,1802,away,TSG 1899 Hoffenheim,Eintracht Frankfurt,10442,10347,63
6258,1802,away,TSG 1899 Hoffenheim,Eintracht Frankfurt,10442,10347,63
6425,1802,away,Borussia Dortmund,Eintracht Frankfurt,10303,10347,64
6425,1802,away,Borussia Dortmund,Eintracht Frankfurt,10303,10347,64
6425,1802,away,Borussia Dortmund,Eintracht Frankfurt,10303,10347,64
6425,1802,away,Borussia Dortmund,Eintracht Frankfurt,10303,10347,64
6425,1802,away,Borussia Dortmund,Eintracht Frankfurt,10303,10347,64
6425,1802,away,Borussia Dortmund,Eintracht Frankfurt,10303,10347,64
6425,1802,away,Borussia Dortmund,Eintracht Frankfurt,10303,10347,64
6425,1802,away,Borussia Dortmund,Eintracht Frankfurt,10303,10347,64
6425,1802,away,Borussia Dortmund,Eintracht Frankfurt,10303,10347,64
6425,1802,away,Borussia Dortmund,Eintracht Frankfurt,10303,10347,64
6425,1802,away,Borussia Dortmund,Eintracht Frankfurt,10303,10347,64
6573,1802,away,FC Augsburg,Eintracht Frankfurt,10269,10347,88
6573,1802,away,FC Augsburg,Eintracht Frankfurt,10269,10347,88
6573,1802,away,FC Augsburg,Eintracht Frankfurt,10269,10347,88
6573,1802,away,FC Augsburg,Eintracht Frankfurt,10269,10347,88
6573,1802,away,FC Augsburg,Eintracht Frankfurt,10269,10347,88
6573,1802,away,FC Augsburg,Eintracht Frankfurt,10269,10347,88
6573,1802,away,FC Augsburg,Eintracht Frankfurt,10269,10347,88
6573,1802,away,FC Augsburg,Eintracht Frankfurt,10269,10347,88
6573,1802,away,FC Augsburg,Eintracht Frankfurt,10269,10347,88
6573,1802,away,FC Augsburg,Eintracht Frankfurt,10269,10347,88
6573,1802,away,FC Augsburg,Eintracht Frankfurt,10269,10347,88
6553,1802,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,54
6553,1802,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,54
6553,1802,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,54
6553,1802,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,54
6553,1802,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,54
6553,1802,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,54
6553,1802,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,54
6553,1802,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,54
6553,1802,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,54
6553,1802,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,54
6553,1802,home,Eintracht Frankfurt,VfL Wolfsburg,10347,10653,54
6609,1802,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,59
6609,1802,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,59
6609,1802,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,59
6609,1802,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,59
6609,1802,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,59
6609,1802,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,59
6609,1802,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,59
6609,1802,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,59
6609,1802,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,59
6609,1802,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,59
6609,1802,home,Eintracht Frankfurt,VfB Stuttgart,10347,10646,59
6730,1802,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,72
6730,1802,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,72
6730,1802,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,72
6730,1802,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,72
6730,1802,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,72
6730,1802,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,72
6730,1802,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,72
6730,1802,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,72
6730,1802,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,72
6730,1802,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,72
6730,1802,home,Eintracht Frankfurt,FC Schalke 04,10347,10576,72
6308,1802,home,Eintracht Frankfurt,Bayer 04 Leverkusen,10347,10281,80
6308,1802,home,Eintracht Frankfurt,Bayer 04 Leverkusen,10347,10281,80
6308,1802,home,Eintracht Frankfurt,Bayer 04 Leverkusen,10347,10281,80
6308,1802,home,Eintracht Frankfurt,Bayer 04 Leverkusen,10347,10281,80
6308,1802,home,Eintracht Frankfurt,Bayer 04 Leverkusen,10347,10281,80
6308,1802,home,Eintracht Frankfurt,Bayer 04 Leverkusen,10347,10281,80
6308,1802,home,Eintracht Frankfurt,Bayer 04 Leverkusen,10347,10281,80
6308,1802,home,Eintracht Frankfurt,Bayer 04 Leverkusen,10347,10281,80
6308,1802,home,Eintracht Frankfurt,Bayer 04 Leverkusen,10347,10281,80
6308,1802,home,Eintracht Frankfurt,Bayer 04 Leverkusen,10347,10281,80
6308,1802,home,Eintracht Frankfurt,Bayer 04 Leverkusen,10347,10281,80
6681,1802,home,Eintracht Frankfurt,Hamburger SV,10347,10419,94
6450,1802,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,94
6681,1802,home,Eintracht Frankfurt,Hamburger SV,10347,10419,94
6450,1802,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,94
6681,1802,home,Eintracht Frankfurt,Hamburger SV,10347,10419,94
6450,1802,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,94
6681,1802,home,Eintracht Frankfurt,Hamburger SV,10347,10419,94
6450,1802,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,94
6681,1802,home,Eintracht Frankfurt,Hamburger SV,10347,10419,94
6450,1802,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,94
6681,1802,home,Eintracht Frankfurt,Hamburger SV,10347,10419,94
6450,1802,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,94
6681,1802,home,Eintracht Frankfurt,Hamburger SV,10347,10419,94
6450,1802,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,94
6681,1802,home,Eintracht Frankfurt,Hamburger SV,10347,10419,94
6450,1802,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,94
6681,1802,home,Eintracht Frankfurt,Hamburger SV,10347,10419,94
6450,1802,home,Eintracht Frankfurt,SV Werder Bremen,10347,10677,94
