playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,actionPosX1,actionPosX2,actionPosY1,actionPosY2,start_sector,end_sector,name
5335,RB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN OD LINIJE,39442,RCB,1230,1214,173.32,389.32,4,8,M. Hasebe
196661,RCM,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,TOCNO DODAVANJE,IZGUBLJEN OD LINIJE,116414,RW,792,1150,199.32,528.32,3,12,A. Ignjovski
196633,LB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,TOCNO DODAVANJE,IZGUBLJEN OD LINIJE,54495,RW,197,241,149.32,212.32,1,1,B. Oczipka
212914,RB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,TOCNO DODAVANJE,IZGUBLJEN OD LINIJE,29485,ST,81,172,686.32,483.32,13,9,Y. Regasel
5335,LB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN OD LINIJE,212914,RB,190,157,156.32,459.32,1,9,M. Hasebe
212914,RB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,GOL OUT,IZGUBLJEN OD LINIJE,0,0,186,29,688.32,529.32,13,9,Y. Regasel
21022,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN OD LINIJE,143853,LW,726,852,575.32,542.32,11,11,L. Abraham
