ID,gameID,actionStartTime,actionEndTime,actionID,bindedActionID,actionOptionID,playerID,playerPositionID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionID,targetPositionIDN,touchNumber,playerTeam,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,refPositionX,refPositionY,startPossTime,endPossTime,gameTimeSection,awayTeamSide,action_duration,poss_duration,start_sector,end_sector,ref_sector,domaci,gosti,domaciFormacija,gostiFormacija,gameDate,gameTime,stadium,referee,climate,luna,temperature,viewers,domaciID,gostiID,homeTeamFormacijaID,awayTeamFormacijaID,Pogodaka_domaci,Score_domaci,Pogodaka_gosti,Score_gosti,Assignments
6257712,6261,162.01,165.61,15,248,248,206309,14,RCB,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,37911,8,CDM,2,home,260,665,645.32,614.32,,32.65,0,0.0,162.01,163.38,FirstHalf,right,3.6,1.37,9,10,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257735,6261,166.27,167.84,248,0,0,11500,18,RCF,NETOCNO DODAVANJE,0,0,78198,16,RCM,1,home,628,585,616.32,571.32,,5.17,0,0.0,166.27,166.3,FirstHalf,right,1.57,0.03,10,10,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257736,6261,166.27,167.84,371,248,373,11500,18,RCF,IZGUBLJENA LOPTA,NETOCNO DODAVANJE,IZGUBLJENA U PRIMANJU,78198,16,RCM,1,home,628,585,616.32,571.32,,5.17,0,0.0,166.27,166.3,FirstHalf,right,1.57,0.03,10,10,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257776,6261,180.0,182.93,247,0,0,206309,14,RCB,TOCNO DODAVANJE,0,0,16087,4,RB,2,home,488,698,546.32,761.32,,24.98,0,0.0,180.0,181.84,FirstHalf,right,2.93,1.84,10,14,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257784,6261,182.93,188.81,247,0,0,16087,4,RB,TOCNO DODAVANJE,0,0,206309,14,RCB,6,home,544,238,749.32,670.32,,25.5,0,0.0,182.93,186.9,FirstHalf,right,5.88,3.97,14,9,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257788,6261,188.81,191.64,247,0,0,206309,14,RCB,TOCNO DODAVANJE,0,0,11341,1,GK,2,home,229,156,662.32,502.32,,14.91,0,0.0,188.81,189.56,FirstHalf,right,2.83,0.75,9,9,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257797,6261,193.93,196.76,247,0,0,206309,14,RCB,TOCNO DODAVANJE,0,0,102647,15,LCM,2,home,354,468,603.32,498.32,,12.84,0,0.0,193.93,195.83,FirstHalf,right,2.83,1.9,10,10,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257895,6261,232.88,234.64,247,0,0,39479,17,LCF,TOCNO DODAVANJE,0,0,16491,21,RW,2,home,898,998,415.32,620.32,,19.32,0,0.0,232.88,233.65,FirstHalf,right,1.76,0.77,7,11,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257906,6261,234.64,237.81,247,0,0,16491,21,RW,TOCNO DODAVANJE,0,0,39479,17,LCF,4,home,1020,1018,533.32,462.32,,6.08,0,0.0,234.64,237.41,FirstHalf,right,3.17,2.77,11,11,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257908,6261,234.64,237.81,6,247,192,16491,21,RW,DRIBLING,TOCNO DODAVANJE,U MJESTU,39479,17,LCF,4,home,1020,1018,533.32,462.32,,6.08,0,0.0,234.64,237.41,FirstHalf,right,3.17,2.77,11,11,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257930,6261,237.81,240.2,248,0,0,39479,17,LCF,NETOCNO DODAVANJE,0,0,11043,1,GK,2,home,1071,1227,460.32,465.32,,12.54,0,0.0,237.81,238.4,FirstHalf,right,2.39,0.59,12,12,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257934,6261,237.81,240.2,15,248,248,39479,17,LCF,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,11043,1,GK,2,home,1071,1227,460.32,465.32,,12.54,0,0.0,237.81,238.4,FirstHalf,right,2.39,0.59,12,12,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257973,6261,267.82,270.12,247,0,0,16087,4,RB,TOCNO DODAVANJE,0,0,102647,15,LCM,1,home,363,434,659.32,620.32,,6.61,0,0.0,267.82,268.0,FirstHalf,right,2.3,0.18,10,10,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257977,6261,267.82,270.12,19,247,72,16087,4,RB,OSTALA DODAVANJA,TOCNO DODAVANJE,GLAVOM,102647,15,LCM,1,home,363,434,659.32,620.32,,6.61,0,0.0,267.82,268.0,FirstHalf,right,2.3,0.18,10,10,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258067,6261,291.27,294.25,247,0,0,16087,4,RB,TOCNO DODAVANJE,0,0,16491,21,RW,2,home,433,689,658.32,749.32,,22.0,0,0.0,291.27,293.08,FirstHalf,right,2.98,1.81,10,14,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258075,6261,294.25,298.35,247,0,0,16491,21,RW,TOCNO DODAVANJE,0,0,102647,15,LCM,4,home,487,505,716.32,576.32,,12.08,0,0.0,294.25,296.61,FirstHalf,right,4.1,2.36,14,10,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258082,6261,294.25,298.35,6,247,192,16491,21,RW,DRIBLING,TOCNO DODAVANJE,U MJESTU,102647,15,LCM,4,home,487,505,716.32,576.32,,12.08,0,0.0,294.25,296.61,FirstHalf,right,4.1,2.36,14,10,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258110,6261,297.36,300.72,22,0,157,102647,15,LCM,PREKID IGRE,0,PRIMLJEN PREKRSAJ,68597,15,LCM,2,home,488,618,567.32,483.32,,12.68,618,483.32,297.36,300.72,FirstHalf,right,3.36,3.36,10,10,10,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258134,6261,305.14,306.51,247,0,0,206309,14,RCB,TOCNO DODAVANJE,0,0,16087,4,RB,2,home,481,501,561.32,748.32,,16.1,0,0.0,305.14,305.42,FirstHalf,right,1.37,0.28,10,14,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
