ID,gameID,actionStartTime,actionEndTime,actionID,bindedActionID,actionOptionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,playerTeam,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,refPositionX,refPositionY,startPossTime,endPossTime,gameTimeSection,playerPositionID,targetPositionID,awayTeamSide,action_duration,poss_duration,start_sector,end_sector,ref_sector,domaci,gosti,domaciFormacija,gostiFormacija,gameDate,gameTime,stadium,referee,climate,luna,temperature,viewers,domaciID,gostiID,homeTeamFormacijaID,awayTeamFormacijaID,Pogodaka_domaci,Score_domaci,Pogodaka_gosti,Score_gosti,Assignments
6257060,6258,204.7,206.45,211,247,247,199745,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,21022,RCM,LCB,1,away,476,420,199.32,249.32,,6.21,0,0.0,204.7,205.39,FirstHalf,16,13,left,1.75,0.69,2,6,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,1.0
6257061,6258,206.45,210.21,247,0,0,21022,TOCNO DODAVANJE,0,0,5335,LCB,RB,2,away,417,400,304.32,566.32,,22.49,0,0.0,206.45,208.6,FirstHalf,13,4,left,3.76,2.15,6,10,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,1.0
6257086,6258,260.05,262.32,247,0,0,21022,TOCNO DODAVANJE,0,0,196633,LCB,LB,2,away,588,728,382.32,78.32,,28.38,0,0.0,260.05,260.49,FirstHalf,13,2,left,2.27,0.44,6,3,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,1.0
6257087,6258,262.32,264.67,247,0,0,196633,TOCNO DODAVANJE,0,0,196661,LB,LW,2,away,760,882,83.32,63.32,,9.95,0,0.0,262.32,264.27,FirstHalf,2,20,left,2.35,1.95,3,3,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,1.0
6257088,6258,264.67,268.1,247,0,0,196661,TOCNO DODAVANJE,0,0,44079,LW,LCM,3,away,888,702,75.32,190.32,,17.9,0,0.0,264.67,266.22,FirstHalf,20,15,left,3.43,1.55,3,3,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,1.0
6257124,6258,307.32,312.17,247,0,0,8570,TOCNO DODAVANJE,0,0,21022,GK,LCB,1,away,161,256,516.32,286.32,,21.14,0,0.0,307.32,310.41,FirstHalf,1,13,left,4.85,3.09,9,5,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,1.0
6257125,6258,307.32,312.17,65,247,247,8570,DODAVANJE RUKOM KRATKO,TOCNO DODAVANJE,TOCNO DODAVANJE,21022,GK,LCB,1,away,161,256,516.32,286.32,,21.14,0,0.0,307.32,310.41,FirstHalf,1,13,left,4.85,3.09,9,5,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,1.0
6257126,6258,307.32,312.17,211,247,247,8570,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,21022,GK,LCB,1,away,161,256,516.32,286.32,,21.14,0,0.0,307.32,310.41,FirstHalf,1,13,left,4.85,3.09,9,5,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,1.0
6257127,6258,312.17,315.04,247,0,0,21022,TOCNO DODAVANJE,0,0,44079,LCB,LCM,2,away,272,389,294.32,373.32,,11.58,0,0.0,312.17,313.27,FirstHalf,13,15,left,2.87,1.1,5,6,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,1.0
6257133,6258,325.75,328.54,247,0,0,39442,TOCNO DODAVANJE,0,0,21022,RCB,LCB,2,away,423,443,545.32,272.32,,23.45,0,0.0,325.75,326.66,FirstHalf,14,13,left,2.79,0.91,10,6,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,1.0
6257134,6258,328.54,330.38,247,0,0,21022,TOCNO DODAVANJE,0,0,196633,LCB,LB,2,away,462,640,261.32,63.32,,22.19,0,0.0,328.54,329.22,FirstHalf,13,2,left,1.84,0.68,6,2,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,1.0
6257135,6258,330.38,332.83,247,0,0,196633,TOCNO DODAVANJE,0,0,196661,LB,LW,2,away,644,565,71.32,140.32,,8.67,0,0.0,330.38,331.69,FirstHalf,2,20,left,2.45,1.31,2,2,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,1.0
