ID,gameID,actionStartTime,actionEndTime,actionID,actionOptionID,bindedActionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,actionPosX1,actionPosX2,actionPosY1,actionPosY2,distance,start_sector,end_sector,action_duration,poss_duration
6379151,6370,362.14,363.31,247,0,0,16520,TOCNO DODAVANJE,0,0,5335,RW,RB,1,817,574,764.32,712.32,20.02,11,10.0,1.17,0.18
6379153,6370,363.31,366.88,247,0,0,5335,TOCNO DODAVANJE,0,0,8570,RB,GK,2,569,297,697.32,509.32,27.15,6,5.0,3.57,0.98
6379165,6370,366.88,369.83,247,0,0,8570,TOCNO DODAVANJE,0,0,21022,GK,LCB,2,307,436,483.32,197.32,26.61,5,2.0,2.95,0.9
6379170,6370,369.83,375.47,247,0,0,21022,TOCNO DODAVANJE,0,0,40700,LCB,LCM,5,406,287,287.32,456.32,17.35,2,5.0,5.64,3.56
6379174,6370,375.47,377.31,247,0,0,40700,TOCNO DODAVANJE,0,0,39442,LCM,RCB,1,288,362,461.32,659.32,17.98,5,6.0,1.84,0.2
6379182,6370,377.31,385.07,247,0,0,39442,TOCNO DODAVANJE,0,0,16520,RCB,RW,8,741,887,692.32,697.32,11.73,7,7.0,7.76,7.32
6379185,6370,385.07,385.9,247,0,0,16520,TOCNO DODAVANJE,0,0,5335,RW,RB,1,885,841,696.32,759.32,6.45,7,11.0,0.83,0.21
6379196,6370,385.9,389.64,247,0,0,5335,TOCNO DODAVANJE,0,0,16520,RB,RW,2,836,1026,777.32,775.32,15.26,11,11.0,3.74,0.76
6379197,6370,385.9,389.64,211,247,247,5335,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,16520,RB,RW,2,836,1026,777.32,775.32,15.26,11,11.0,3.74,0.76
6379225,6370,418.93,420.51,261,98,248,203576,IZVODENJE SLOBODNOG UDARCA,NETOCNO DODAVANJE,KOMBINACIJA,29434,LW,RCM,1,1009,1138,760.32,482.32,25.98,11,8.0,1.58,0.18
6379226,6370,418.93,420.51,15,248,248,203576,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,29434,LW,RCM,1,1009,1138,760.32,482.32,25.98,11,8.0,1.58,0.18
6379284,6370,424.28,425.43,247,0,0,196661,TOCNO DODAVANJE,0,0,196633,RCM,LB,1,966,853,299.32,251.32,9.96,3,3.0,1.15,0.22
6379285,6370,424.28,425.43,211,247,247,196661,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,196633,RCM,LB,1,966,853,299.32,251.32,9.96,3,3.0,1.15,0.22
6379287,6370,425.43,426.5,247,0,0,196633,TOCNO DODAVANJE,0,0,196633,LB,LB,1,848,749,249.32,307.32,9.38,3,3.0,1.07,0.18
6379288,6370,426.5,430.83,247,0,0,196633,TOCNO DODAVANJE,0,0,196661,LB,RCM,5,752,827,335.32,372.32,6.81,3,7.0,4.33,3.83
6379304,6370,443.54,444.88,247,0,0,196661,TOCNO DODAVANJE,0,0,1802,RCM,CAM,2,551,527,157.32,151.32,1.99,2,2.0,1.34,0.79
6379306,6370,444.88,445.7,247,0,0,1802,TOCNO DODAVANJE,0,0,203576,CAM,LW,1,524,592,144.32,92.32,7.05,2,2.0,0.82,0.2
6379312,6370,454.27,456.88,247,0,0,8570,TOCNO DODAVANJE,0,0,21022,GK,LCB,1,180,333,71.32,78.32,12.3,1,1.0,2.61,0.19
6379315,6370,456.88,458.39,247,0,0,21022,TOCNO DODAVANJE,0,0,196633,LCB,LB,1,340,481,74.32,69.32,11.33,1,2.0,1.51,0.38
6379318,6370,458.39,462.5,247,0,0,196633,TOCNO DODAVANJE,0,0,40700,LB,LCM,5,533,466,74.32,210.32,12.84,2,2.0,4.11,3.1
6379321,6370,462.5,465.37,247,0,0,40700,TOCNO DODAVANJE,0,0,39442,LCM,RCB,2,460,473,227.32,571.32,29.5,2,6.0,2.87,1.07
6379322,6370,465.37,467.7,247,0,0,39442,TOCNO DODAVANJE,0,0,5335,RCB,RB,2,477,514,586.32,717.32,11.61,6,10.0,2.33,0.91
6379323,6370,467.7,469.16,247,0,0,5335,TOCNO DODAVANJE,0,0,196661,RB,RCM,2,476,536,716.32,574.32,13.09,10,6.0,1.46,0.73
6379327,6370,472.98,476.68,247,0,0,8570,TOCNO DODAVANJE,0,0,16520,GK,RW,1,289,845,575.32,750.32,47.12,5,11.0,3.7,0.18
6379328,6370,472.98,476.68,15,247,247,8570,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,16520,GK,RW,1,289,845,575.32,750.32,47.12,5,11.0,3.7,0.18
6379406,6370,515.01,515.39,211,232,232,203576,NIJE IZGUBLJENA,OUT,OUT,0,LW,0,1,164,135,68.32,20.32,4.72,1,1.0,0.38,0.19
6379425,6370,535.78,536.13,211,232,232,203576,NIJE IZGUBLJENA,OUT,OUT,0,LW,0,1,223,209,62.32,19.32,3.85,1,1.0,0.35,0.17
6379440,6370,542.93,546.45,15,232,232,21022,LOPTA PO ZRAKU,OUT,OUT,0,LCB,0,1,136,123,243.32,26.32,18.62,1,1.0,3.52,0.2
6379441,6370,542.93,546.45,211,232,232,21022,NIJE IZGUBLJENA,OUT,OUT,0,LCB,0,1,136,123,243.32,26.32,18.62,1,1.0,3.52,0.2
6379466,6370,579.38,582.59,15,248,248,8570,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,196781,GK,LW,1,125,726,458.32,668.32,51.54,5,7.0,3.21,0.18
6379486,6370,590.01,591.74,247,0,0,39442,TOCNO DODAVANJE,0,0,8570,RCB,GK,1,334,132,607.32,578.32,16.42,5,5.0,1.73,0.47
6379490,6370,591.74,594.9,247,0,0,8570,TOCNO DODAVANJE,0,0,77888,GK,ST,1,131,688,577.32,618.32,44.89,5,6.0,3.16,0.18
6379491,6370,591.74,594.9,15,247,247,8570,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,77888,GK,ST,1,131,688,577.32,618.32,44.89,5,6.0,3.16,0.18
6379498,6370,594.9,596.18,247,0,0,77888,TOCNO DODAVANJE,0,0,40700,ST,LCM,1,697,563,621.32,551.32,12.32,6,6.0,1.28,0.17
6379545,6370,603.52,604.61,247,0,0,40700,TOCNO DODAVANJE,0,0,196633,LCM,LB,1,293,245,256.32,233.32,4.33,1,1.0,1.09,0.18
6379548,6370,603.52,604.61,211,247,247,40700,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,196633,LCM,LB,1,293,245,256.32,233.32,4.33,1,1.0,1.09,0.18
6379552,6370,604.61,610.95,247,0,0,196633,TOCNO DODAVANJE,0,0,77888,LB,ST,7,550,730,61.32,138.32,15.89,2,3.0,6.34,5.36
6379556,6370,610.95,612.09,247,0,0,77888,TOCNO DODAVANJE,0,0,203576,ST,LW,1,727,675,141.32,102.32,5.35,3,2.0,1.14,0.24
6379559,6370,612.09,616.87,247,0,0,203576,TOCNO DODAVANJE,0,0,5335,LW,RB,4,655,686,180.32,642.32,39.67,2,6.0,4.78,2.24
6379567,6370,616.87,621.46,247,0,0,5335,TOCNO DODAVANJE,0,0,16520,RB,RW,5,935,1037,654.32,734.32,10.68,7,11.0,4.59,3.88
6379574,6370,621.46,623.69,247,0,0,16520,TOCNO DODAVANJE,0,0,5335,RW,RB,3,1105,1018,732.32,710.32,7.24,12,11.0,2.23,1.76
6379578,6370,623.69,626.99,247,0,0,5335,TOCNO DODAVANJE,0,0,40700,RB,LCM,3,988,936,697.32,486.32,18.56,7,7.0,3.3,1.32
6379584,6370,626.99,629.49,247,0,0,40700,TOCNO DODAVANJE,0,0,196661,LCM,RCM,3,927,899,524.32,629.32,9.27,7,7.0,2.5,1.58
6379598,6370,650.77,653.09,211,248,248,5335,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,202061,RB,LCB,1,1179,1246,797.32,558.32,21.18,12,8.0,2.32,0.18
6379617,6370,665.09,668.09,211,248,248,5335,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,123620,RB,RCB,1,1264,1219,797.32,443.32,30.55,12,8.0,3.0,0.16
6379657,6370,692.23,694.48,247,0,0,203576,TOCNO DODAVANJE,0,0,21022,LW,LCB,1,1285,1178,783.32,362.32,37.09,12,8.0,2.25,0.16
6379690,6370,699.43,700.39,247,0,0,203576,TOCNO DODAVANJE,0,0,1802,LW,CAM,1,1191,1214,597.32,457.32,12.14,8,8.0,0.96,0.16
6379691,6370,699.43,700.39,211,247,247,203576,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,1802,LW,CAM,1,1191,1214,597.32,457.32,12.14,8,8.0,0.96,0.16
6379717,6370,700.4,700.57,211,248,248,1802,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,123620,CAM,RCB,1,1214,1215,460.32,458.32,0.18,8,8.0,0.17,0.17
6379738,6370,722.56,724.12,247,0,0,5335,TOCNO DODAVANJE,0,0,203576,RB,LW,1,991,1100,572.32,730.32,16.12,7,12.0,1.56,0.19
6379744,6370,724.12,727.64,4,60,248,203576,CENTARSUT,NETOCNO DODAVANJE,DOBAR,202061,LW,LCB,4,1033,1170,663.32,393.32,25.62,7,8.0,3.52,3.52
6379752,6370,730.13,732.91,247,0,0,196661,TOCNO DODAVANJE,0,0,196633,RCM,LB,2,938,948,429.32,123.32,26.24,7,3.0,2.78,1.25
6379753,6370,732.91,734.59,247,0,0,196633,TOCNO DODAVANJE,0,0,196661,LB,RCM,2,945,837,132.32,220.32,11.49,3,3.0,1.68,0.94
6379754,6370,734.59,738.0,247,0,0,196661,TOCNO DODAVANJE,0,0,39442,RCM,RCB,4,825,675,224.32,443.32,22.3,3,6.0,3.41,2.27
6379756,6370,738.0,741.68,15,248,248,39442,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,123620,RCB,RCB,4,712,991,463.32,389.32,23.29,7,7.0,3.68,2.18
6379894,6370,814.81,816.14,247,0,0,196661,TOCNO DODAVANJE,0,0,203576,RCM,LW,1,437,424,228.32,161.32,5.83,2,2.0,1.33,0.15
6379895,6370,814.81,816.14,11,95,247,196661,KLIZECI START,TOCNO DODAVANJE,KLIZECI START ODUZETA LOPTA,203576,RCM,LW,1,437,424,228.32,161.32,5.83,2,2.0,1.33,0.15
6379901,6370,816.14,818.78,247,0,0,203576,TOCNO DODAVANJE,0,0,39442,LW,RCB,1,425,321,155.32,397.32,22.36,2,5.0,2.64,0.18
6379903,6370,818.78,821.47,247,0,0,39442,TOCNO DODAVANJE,0,0,5335,RCB,RB,2,352,273,440.32,614.32,16.2,6,5.0,2.69,1.35
6379908,6370,821.47,823.41,247,0,0,5335,TOCNO DODAVANJE,0,0,8570,RB,GK,1,268,187,622.32,490.32,13.05,5,5.0,1.94,0.16
6379931,6370,823.41,827.25,15,248,248,8570,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,6045,GK,LB,1,184,600,487.32,681.32,37.33,5,6.0,3.84,0.63
6379945,6370,829.61,832.81,247,0,0,39442,TOCNO DODAVANJE,0,0,196661,RCB,RCM,4,438,408,581.32,465.32,10.23,6,6.0,3.2,2.58
6379949,6370,832.81,835.58,247,0,0,196661,TOCNO DODAVANJE,0,0,196633,RCM,LB,2,418,548,439.32,159.32,26.17,6,2.0,2.77,0.83
6379954,6370,835.58,841.44,247,0,0,196633,TOCNO DODAVANJE,0,0,203576,LB,LW,5,746,1054,121.32,77.32,25.03,3,4.0,5.86,3.14
6379957,6370,841.44,844.53,247,0,0,203576,TOCNO DODAVANJE,0,0,1802,LW,CAM,3,1046,947,81.32,187.32,12.07,3,3.0,3.09,1.9
6379961,6370,844.53,845.44,247,0,0,1802,TOCNO DODAVANJE,0,0,40700,CAM,LCM,1,945,891,191.32,146.32,5.8,3,3.0,0.91,0.2
6379962,6370,845.44,847.25,247,0,0,40700,TOCNO DODAVANJE,0,0,203576,LCM,LW,2,919,1002,144.32,168.32,6.97,3,3.0,1.81,1.31
6379966,6370,847.25,848.17,247,0,0,203576,TOCNO DODAVANJE,0,0,40700,LW,LCM,1,1003,966,168.32,191.32,3.56,3,3.0,0.92,0.21
6379975,6370,848.17,850.58,247,0,0,40700,TOCNO DODAVANJE,0,0,1802,LCM,CAM,2,999,1028,214.32,395.32,15.68,3,7.0,2.41,1.07
6380018,6370,880.98,882.09,247,0,0,21022,TOCNO DODAVANJE,0,0,39442,LCB,RCB,1,426,435,215.32,356.32,12.1,2,6.0,1.11,0.2
6380022,6370,882.09,886.09,247,0,0,39442,TOCNO DODAVANJE,0,0,40700,RCB,LCM,4,452,494,439.32,222.32,18.9,6,2.0,4.0,2.73
6380028,6370,886.09,891.94,247,0,0,40700,TOCNO DODAVANJE,0,0,39442,LCM,RCB,6,511,416,352.32,498.32,14.65,6,6.0,5.85,4.67
6380031,6370,891.94,894.65,247,0,0,39442,TOCNO DODAVANJE,0,0,21022,RCB,LCB,2,421,404,506.32,214.32,25.06,6,2.0,2.71,0.89
6380033,6370,894.65,899.02,247,0,0,21022,TOCNO DODAVANJE,0,0,196661,LCB,RCM,5,432,396,202.32,313.32,9.94,2,2.0,4.37,3.13
6380039,6370,899.02,903.3,247,0,0,196661,TOCNO DODAVANJE,0,0,39442,RCM,RCB,4,424,447,361.32,584.32,19.2,6,6.0,4.28,2.32
6380042,6370,903.3,904.67,247,0,0,39442,TOCNO DODAVANJE,0,0,196661,RCB,RCM,1,450,429,593.32,486.32,9.32,6,6.0,1.37,0.14
6380044,6370,904.67,907.56,247,0,0,196661,TOCNO DODAVANJE,0,0,21022,RCM,LCB,2,424,423,474.32,251.32,19.11,6,2.0,2.89,0.87
6380047,6370,907.56,910.93,247,0,0,21022,TOCNO DODAVANJE,0,0,196633,LCB,LB,2,513,529,226.32,76.32,12.92,2,2.0,3.37,1.98
6380052,6370,910.93,912.44,15,248,248,196633,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,39381,LB,RB,2,531,830,74.32,124.32,24.4,2,3.0,1.51,0.18
6380127,6370,942.64,949.94,247,0,0,77888,TOCNO DODAVANJE,0,0,16520,ST,RW,8,998,1034,626.32,532.32,8.56,7,7.0,7.3,6.78
6380159,6370,987.93,988.81,247,0,0,196633,TOCNO DODAVANJE,0,0,203576,LB,LW,1,580,697,145.32,119.32,9.66,2,2.0,0.88,0.19
6380174,6370,993.42,994.84,247,0,0,21022,TOCNO DODAVANJE,0,0,5335,LCB,RB,1,439,423,296.32,487.32,16.42,2,6.0,1.42,0.21
6380176,6370,994.84,997.22,247,0,0,5335,TOCNO DODAVANJE,0,0,8570,RB,GK,1,419,232,489.32,391.32,17.21,6,5.0,2.38,0.18
6380178,6370,997.22,1005.21,247,0,0,8570,TOCNO DODAVANJE,0,0,39442,GK,RCB,8,245,321,434.32,701.32,23.68,5,9.0,7.99,7.81
6380180,6370,1005.21,1009.13,15,248,248,39442,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,202061,RCB,LCB,2,327,790,734.32,635.32,38.16,9,7.0,3.92,1.44
6380237,6370,1009.33,1011.92,211,232,232,77888,NIJE IZGUBLJENA,OUT,OUT,0,ST,0,1,797,821,624.32,811.32,16.14,7,11.0,2.59,0.2
6380262,6370,1026.5,1027.34,247,0,0,39442,TOCNO DODAVANJE,0,0,196661,RCB,RCM,1,450,648,667.32,665.32,15.91,6,6.0,0.84,0.21
6380263,6370,1026.5,1027.34,15,247,247,39442,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,196661,RCB,RCM,1,450,648,667.32,665.32,15.91,6,6.0,0.84,0.21
6380270,6370,1027.34,1029.57,247,0,0,196661,TOCNO DODAVANJE,0,0,77888,RCM,ST,1,653,755,666.32,627.32,8.85,6,7.0,2.23,0.2
6380271,6370,1027.34,1029.57,15,247,247,196661,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,77888,RCM,ST,1,653,755,666.32,627.32,8.85,6,7.0,2.23,0.2
6380275,6370,1029.57,1030.43,247,0,0,77888,TOCNO DODAVANJE,0,0,40700,ST,LCM,1,759,669,622.32,570.32,8.49,7,6.0,0.86,0.18
6380283,6370,1030.43,1031.85,247,0,0,40700,TOCNO DODAVANJE,0,0,196661,LCM,RCM,2,658,707,565.32,624.32,6.4,6,7.0,1.42,0.86
6380335,6370,1064.6,1066.11,261,98,248,5335,IZVODENJE SLOBODNOG UDARCA,NETOCNO DODAVANJE,KOMBINACIJA,116414,RB,RW,1,830,1102,551.32,373.32,26.65,7,8.0,1.51,0.19
6380337,6370,1064.6,1066.11,15,248,248,5335,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,116414,RB,RW,1,830,1102,551.32,373.32,26.65,7,8.0,1.51,0.19
6380355,6370,1069.79,1073.93,4,60,248,196633,CENTARSUT,NETOCNO DODAVANJE,DOBAR,123620,LB,RCB,2,1013,1201,70.32,459.32,36.6,3,8.0,4.14,4.14
6380379,6370,1076.99,1080.47,247,0,0,16520,TOCNO DODAVANJE,0,0,40700,RW,LCM,2,1246,1153,731.32,499.32,21.24,12,8.0,3.48,1.21
6380385,6370,1076.99,1080.47,4,60,247,16520,CENTARSUT,TOCNO DODAVANJE,DOBAR,40700,RW,LCM,2,1244,1152,731.32,499.32,21.21,12,8.0,3.48,3.48
6380412,6370,1080.47,1081.47,247,0,0,40700,TOCNO DODAVANJE,0,0,1802,LCM,CAM,1,1149,1229,495.32,300.32,17.9,8,4.0,1.0,0.21
6380414,6370,1080.47,1081.47,211,247,247,40700,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,1802,LCM,CAM,1,1149,1229,495.32,300.32,17.9,8,4.0,1.0,0.21
6380459,6370,1136.05,1139.1,247,0,0,8570,TOCNO DODAVANJE,0,0,1802,GK,CAM,1,261,839,116.32,137.32,46.48,1,3.0,3.05,0.16
6380462,6370,1136.05,1139.1,261,171,247,8570,IZVODENJE SLOBODNOG UDARCA,TOCNO DODAVANJE,SLOBODAN UDARAC DODAVANJE,1802,GK,CAM,1,261,839,116.32,137.32,46.48,1,3.0,3.05,0.16
6380466,6370,1139.1,1141.11,247,0,0,1802,TOCNO DODAVANJE,0,0,77888,CAM,ST,1,841,891,139.32,207.32,7.07,3,3.0,2.01,0.2
6380472,6370,1141.11,1142.35,247,0,0,77888,TOCNO DODAVANJE,0,0,1802,ST,CAM,1,890,895,209.32,136.32,6.27,3,3.0,1.24,0.19
6380474,6370,1142.35,1143.52,247,0,0,1802,TOCNO DODAVANJE,0,0,40700,CAM,LCM,1,889,865,127.32,208.32,7.2,3,3.0,1.17,0.19
6380497,6370,1167.41,1169.52,247,0,0,21022,TOCNO DODAVANJE,0,0,196633,LCB,LB,1,852,931,218.32,86.32,12.97,3,3.0,2.11,0.19
6380498,6370,1167.41,1169.52,261,171,247,21022,IZVODENJE SLOBODNOG UDARCA,TOCNO DODAVANJE,SLOBODAN UDARAC DODAVANJE,196633,LCB,LB,1,852,931,218.32,86.32,12.97,3,3.0,2.11,0.19
6380508,6370,1169.52,1173.64,247,0,0,196633,TOCNO DODAVANJE,0,0,16520,LB,RW,2,983,1188,85.32,538.32,42.17,3,8.0,4.12,1.5
6380509,6370,1169.52,1173.64,4,60,247,196633,CENTARSUT,TOCNO DODAVANJE,DOBAR,16520,LB,RW,2,982,1188,85.32,538.32,42.2,3,8.0,4.12,4.12
6380539,6370,1173.64,1174.72,247,0,0,16520,TOCNO DODAVANJE,0,0,77888,RW,ST,1,1189,1176,549.32,480.32,6.0,8,8.0,1.08,0.16
6380598,6370,1194.36,1195.59,247,0,0,196633,TOCNO DODAVANJE,0,0,203576,LB,LW,1,736,805,97.32,81.32,5.71,3,3.0,1.23,0.17
