,actionPosX1,actionPosX2,actionPosY1,actionPosY2
173,922.0,876.0,237.32,88.32
174,583.0,665.0,431.32,217.32
175,560.0,445.0,496.32,538.32
176,508.0,523.0,396.32,648.32
177,421.0,464.0,535.32,324.32
178,600.0,707.0,300.32,125.32
179,417.0,454.0,366.32,534.32
180,476.0,622.0,650.32,637.32
181,480.0,351.0,595.32,583.32
182,554.0,727.0,710.32,668.32
183,456.0,464.0,686.32,758.32
184,562.0,455.0,733.32,388.32
185,934.0,980.0,651.32,727.32
186,567.0,269.0,426.32,436.32
187,591.0,472.0,252.32,214.32
188,634.0,663.0,577.32,714.32
189,644.0,688.0,642.32,747.32
190,644.0,735.0,668.32,760.32
191,547.0,598.0,750.32,723.32
192,481.0,579.0,523.32,621.32
193,507.0,564.0,593.32,506.32
194,716.0,827.0,367.32,237.32
195,819.0,877.0,360.32,687.32
196,738.0,696.0,617.32,363.32
197,716.0,519.0,397.32,595.32
198,616.0,699.0,430.32,361.32
199,631.0,777.0,371.32,266.32
200,485.0,460.0,607.32,539.32
201,649.0,749.0,186.32,142.32
202,803.0,876.0,142.32,102.32
203,617.0,797.0,337.32,427.32
204,588.0,450.0,456.32,540.32
205,503.0,687.0,645.32,758.32
206,529.0,389.0,645.32,563.32
207,478.0,937.0,722.32,598.32
208,450.0,571.0,626.32,622.32
209,503.0,473.0,617.32,463.32
210,553.0,699.0,590.32,613.32
211,497.0,542.0,496.32,137.32
212,457.0,385.0,337.32,216.32
213,451.0,754.0,313.32,172.32
214,434.0,445.0,451.32,599.32
215,778.0,1179.0,250.32,213.32
216,903.0,859.0,240.32,340.32
217,476.0,1029.0,388.32,729.32
218,409.0,309.0,478.32,620.32
219,795.0,902.0,684.32,657.32
220,447.0,457.0,675.32,748.32
221,322.0,202.0,311.32,236.32
222,461.0,713.0,353.32,730.32
223,506.0,284.0,472.32,425.32
224,440.0,524.0,446.32,579.32
225,390.0,454.0,406.32,95.32
226,717.0,826.0,160.32,75.32
227,676.0,325.0,653.32,311.32
228,497.0,467.0,244.32,484.32
229,468.0,567.0,295.32,143.32
230,493.0,579.0,227.32,530.32
231,449.0,549.0,273.32,328.32
232,446.0,490.0,339.32,594.32
233,234.0,278.0,400.32,435.32
234,802.0,848.0,406.32,156.32
235,526.0,467.0,227.32,456.32
236,432.0,457.0,266.32,545.32
237,507.0,802.0,195.32,91.32
238,449.0,475.0,204.32,328.32
239,547.0,589.0,231.32,324.32
240,282.0,341.0,213.32,283.32
241,539.0,372.0,245.32,419.32
242,383.0,492.0,282.32,329.32
243,410.0,496.0,200.32,278.32
244,676.0,727.0,369.32,441.32
245,491.0,501.0,280.32,552.32
246,413.0,485.0,217.32,391.32
247,534.0,776.0,310.32,259.32
248,496.0,632.0,263.32,109.32
249,447.0,385.0,207.32,417.32
250,467.0,416.0,262.32,516.32
251,525.0,697.0,278.32,102.32
252,516.0,746.0,261.32,106.32
253,486.0,565.0,272.32,549.32
254,491.0,557.0,287.32,188.32
255,557.0,668.0,242.32,303.32
256,511.0,333.0,370.32,314.32
257,297.0,177.0,479.32,364.32
258,531.0,531.0,246.32,555.32
259,265.0,409.0,301.32,282.32
260,412.0,1027.0,335.32,699.32
261,701.0,867.0,285.32,231.32
262,571.0,603.0,224.32,296.32
263,632.0,931.0,183.32,207.32
264,783.0,894.0,619.32,341.32
265,916.0,614.0,560.32,766.32
266,1025.0,887.0,583.32,491.32
267,962.0,795.0,558.32,412.32
268,778.0,747.0,417.32,583.32
269,894.0,848.0,487.32,207.32
270,925.0,768.0,546.32,711.32
271,913.0,1111.0,264.32,361.32
272,912.0,654.0,613.32,667.32
273,901.0,910.0,660.32,231.32
274,598.0,393.0,661.32,497.32
275,1001.0,931.0,583.32,588.32
276,881.0,806.0,407.32,261.32
277,1087.0,865.0,704.32,492.32
278,967.0,927.0,726.32,360.32
279,959.0,822.0,510.32,282.32
280,927.0,875.0,421.32,330.32
281,710.0,649.0,430.32,213.32
282,1054.0,1149.0,586.32,429.32
283,1034.0,960.0,610.32,283.32
284,837.0,745.0,596.32,252.32
285,670.0,579.0,376.32,138.32
286,856.0,757.0,623.32,716.32
287,785.0,669.0,604.32,778.32
288,729.0,650.0,579.32,703.32
289,1019.0,864.0,529.32,673.32
290,544.0,341.0,612.32,591.32
291,697.0,558.0,596.32,517.32
292,856.0,1132.0,657.32,383.32
293,588.0,449.0,516.32,449.32
294,612.0,567.0,482.32,392.32
295,1018.0,920.0,593.32,436.32
296,865.0,670.0,528.32,426.32
297,751.0,321.0,621.32,518.32
298,846.0,847.0,577.32,362.32
299,1135.0,887.0,388.32,388.32
300,835.0,838.0,447.32,249.32
301,867.0,799.0,404.32,711.32
302,947.0,835.0,411.32,394.32
303,601.0,696.0,389.32,155.32
304,183.0,104.0,179.32,413.32
305,619.0,613.0,291.32,559.32
306,448.0,1062.0,361.32,718.32
307,682.0,692.0,159.32,222.32
308,438.0,209.0,48.32,218.32
309,628.0,780.0,272.32,229.32
310,300.0,323.0,172.32,381.32
311,424.0,430.0,154.32,244.32
312,689.0,793.0,223.32,326.32
313,466.0,553.0,278.32,120.32
314,729.0,977.0,229.32,77.32
315,769.0,863.0,122.32,103.32
316,482.0,613.0,248.32,108.32
317,486.0,605.0,224.32,290.32
318,626.0,775.0,417.32,521.32
319,445.0,622.0,195.32,94.32
320,491.0,618.0,202.32,81.32
321,608.0,816.0,269.32,222.32
322,460.0,725.0,153.32,77.32
323,652.0,772.0,444.32,194.32
324,639.0,602.0,365.32,528.32
325,623.0,793.0,226.32,222.32
326,650.0,1140.0,245.32,703.32
327,811.0,718.0,242.32,375.32
328,668.0,825.0,246.32,299.32
329,575.0,589.0,195.32,577.32
330,575.0,665.0,246.32,88.32
331,476.0,544.0,535.32,579.32
332,418.0,492.0,269.32,496.32
333,412.0,510.0,261.32,380.32
334,466.0,557.0,350.32,277.32
335,454.0,454.0,245.32,645.32
336,526.0,736.0,229.32,63.32
337,457.0,414.0,234.32,426.32
338,344.0,404.0,332.32,530.32
339,542.0,738.0,273.32,106.32
340,386.0,480.0,224.32,361.32
341,467.0,414.0,271.32,441.32
342,510.0,398.0,182.32,254.32
343,500.0,809.0,107.32,67.32
344,645.0,512.0,176.32,428.32
345,451.0,223.0,241.32,321.32
346,332.0,176.0,194.32,342.32
347,279.0,510.0,290.32,246.32
348,848.0,891.0,576.32,377.32
349,835.0,698.0,472.32,696.32
350,623.0,389.0,484.32,79.32
351,870.0,1094.0,808.32,606.32
352,936.0,707.0,565.32,758.32
353,842.0,725.0,619.32,763.32
354,839.0,703.0,580.32,535.32
355,828.0,708.0,573.32,744.32
356,912.0,977.0,596.32,334.32
357,953.0,872.0,542.32,723.32
358,851.0,1066.0,413.32,427.32
359,964.0,863.0,559.32,439.32
360,916.0,835.0,481.32,725.32
361,921.0,644.0,535.32,623.32
362,641.0,700.0,613.32,345.32
363,807.0,750.0,571.32,290.32
364,866.0,754.0,365.32,206.32
365,847.0,634.0,471.32,532.32
366,906.0,741.0,609.32,565.32
367,943.0,908.0,559.32,278.32
368,866.0,384.0,503.32,749.32
369,821.0,715.0,559.32,508.32
370,854.0,758.0,421.32,724.32
371,895.0,757.0,484.32,242.32
372,673.0,598.0,384.32,705.32
373,926.0,940.0,463.32,596.32
374,909.0,826.0,545.32,269.32
375,753.0,326.0,488.32,762.32
376,808.0,723.0,413.32,425.32
377,955.0,938.0,665.32,213.32
378,866.0,612.0,619.32,764.32
379,757.0,526.0,641.32,614.32
380,953.0,743.0,526.32,457.32
381,699.0,496.0,537.32,497.32
382,696.0,605.0,560.32,743.32
383,618.0,171.0,575.32,726.32
384,987.0,939.0,619.32,235.32
385,788.0,524.0,612.32,663.32
386,926.0,905.0,524.32,276.32
387,725.0,214.0,200.32,740.32
388,488.0,698.0,546.32,761.32
389,229.0,156.0,662.32,502.32
390,354.0,468.0,603.32,498.32
391,460.0,562.0,452.32,312.32
392,436.0,431.0,285.32,634.32
393,481.0,501.0,561.32,748.32
394,448.0,568.0,570.32,442.32
395,161.0,114.0,664.32,527.32
396,279.0,399.0,618.32,571.32
397,379.0,647.0,471.32,396.32
398,412.0,139.0,604.32,513.32
399,312.0,168.0,531.32,451.32
400,436.0,432.0,622.32,292.32
401,314.0,426.0,596.32,750.32
402,210.0,187.0,665.32,504.32
403,167.0,143.0,668.32,516.32
404,626.0,684.0,460.32,408.32
405,123.0,229.0,354.32,69.32
406,299.0,350.0,646.32,310.32
407,525.0,467.0,609.32,387.32
408,514.0,550.0,398.32,172.32
409,482.0,766.0,527.32,749.32
410,363.0,465.0,680.32,475.32
411,513.0,583.0,602.32,537.32
412,400.0,436.0,565.32,409.32
413,348.0,387.0,553.32,709.32
414,313.0,366.0,561.32,234.32
415,568.0,740.0,656.32,759.32
416,470.0,879.0,508.32,757.32
417,252.0,380.0,99.32,302.32
418,214.0,411.0,682.32,645.32
419,476.0,487.0,576.32,259.32
420,455.0,535.0,431.32,592.32
421,526.0,531.0,591.32,303.32
422,660.0,824.0,658.32,634.32
423,593.0,537.0,480.32,213.32
424,612.0,734.0,503.32,468.32
425,557.0,478.0,568.32,241.32
426,574.0,788.0,592.32,762.32
427,118.0,152.0,723.32,436.32
428,551.0,445.0,601.32,488.32
429,604.0,806.0,582.32,731.32
430,603.0,657.0,183.32,226.32
431,595.0,665.0,611.32,557.32
432,899.0,969.0,653.32,614.32
433,510.0,527.0,375.32,171.32
434,573.0,504.0,580.32,299.32
435,677.0,833.0,645.32,528.32
436,460.0,715.0,593.32,747.32
437,785.0,872.0,668.32,750.32
438,884.0,1009.0,715.32,732.32
439,659.0,730.0,568.32,744.32
440,648.0,863.0,647.32,761.32
441,362.0,392.0,610.32,446.32
442,669.0,983.0,572.32,772.32
443,679.0,468.0,652.32,357.32
444,427.0,387.0,484.32,327.32
445,345.0,422.0,463.32,216.32
446,411.0,473.0,315.32,617.32
447,433.0,494.0,424.32,571.32
448,487.0,570.0,483.32,387.32
449,464.0,498.0,430.32,226.32
450,455.0,550.0,349.32,598.32
451,577.0,611.0,467.32,250.32
452,324.0,365.0,559.32,373.32
453,502.0,536.0,562.32,249.32
454,443.0,523.0,420.32,661.32
455,712.0,573.0,678.32,380.32
456,587.0,987.0,595.32,773.32
457,604.0,841.0,684.32,782.32
458,508.0,483.0,543.32,331.32
459,583.0,878.0,618.32,767.32
460,889.0,1057.0,561.32,769.32
461,369.0,545.0,545.32,476.32
462,720.0,805.0,653.32,536.32
