,actionPosX1,actionPosX2,actionPosY1,actionPosY2
806,455.0,517.0,193.32,319.32
807,426.0,457.0,161.32,252.32
808,398.0,430.0,273.32,570.32
809,434.0,366.0,369.32,592.32
810,479.0,566.0,183.32,100.32
811,254.0,172.0,183.32,345.32
812,520.0,584.0,332.32,150.32
813,370.0,266.0,236.32,473.32
814,535.0,883.0,86.32,115.32
815,413.0,517.0,260.32,102.32
816,416.0,471.0,167.32,328.32
817,361.0,457.0,556.32,534.32
818,520.0,534.0,226.32,369.32
819,288.0,168.0,198.32,352.32
820,373.0,218.0,113.32,283.32
821,433.0,377.0,158.32,321.32
822,482.0,735.0,157.32,204.32
823,549.0,1069.0,113.32,95.32
824,128.0,301.0,391.32,318.32
825,195.0,335.0,232.32,175.32
826,610.0,690.0,339.32,144.32
827,598.0,654.0,227.32,230.32
828,735.0,852.0,326.32,111.32
829,496.0,601.0,185.32,153.32
830,435.0,558.0,159.32,84.32
831,402.0,242.0,126.32,319.32
832,432.0,445.0,225.32,292.32
833,359.0,374.0,271.32,554.32
834,456.0,469.0,272.32,561.32
835,467.0,789.0,249.32,75.32
836,401.0,472.0,259.32,172.32
837,423.0,543.0,109.32,73.32
838,213.0,134.0,241.32,454.32
839,409.0,447.0,190.32,133.32
840,320.0,115.0,219.32,352.32
841,678.0,429.0,140.32,300.32
842,368.0,376.0,312.32,552.32
843,400.0,514.0,353.32,243.32
844,380.0,428.0,329.32,191.32
845,417.0,273.0,173.32,376.32
846,512.0,593.0,92.32,241.32
847,494.0,569.0,241.32,250.32
848,527.0,271.0,239.32,450.32
849,130.0,143.0,449.32,556.32
850,293.0,345.0,357.32,381.32
851,399.0,184.0,314.32,469.32
852,695.0,986.0,117.32,187.32
853,505.0,816.0,89.32,184.32
854,771.0,426.0,114.32,118.32
855,768.0,878.0,301.32,675.32
856,1001.0,967.0,159.32,92.32
857,958.0,1006.0,160.32,219.32
858,332.0,406.0,284.32,378.32
859,645.0,609.0,604.32,522.32
860,588.0,494.0,171.32,100.32
861,526.0,352.0,443.32,554.32
862,527.0,416.0,516.32,613.32
863,832.0,780.0,584.32,682.32
864,774.0,768.0,74.32,135.32
865,1161.0,1147.0,190.32,336.32
866,953.0,825.0,98.32,89.32
867,813.0,723.0,135.32,85.32
868,726.0,825.0,312.32,496.32
869,549.0,651.0,96.32,104.32
870,294.0,196.0,727.32,595.32
