,playerID,targetPlayerID,actionPosX1,actionPosX2,actionPosY1,actionPosY2
0,16087.0,54689.0,485.0,561.0,713.32,720.32
1,16087.0,54689.0,428.0,881.0,792.32,711.32
2,16087.0,54689.0,386.0,692.0,793.32,707.32
3,16087.0,54689.0,629.0,1195.0,796.32,713.32
4,16087.0,68597.0,351.0,542.0,641.32,611.32
5,16087.0,54769.0,413.0,352.0,595.32,615.32
6,16087.0,37911.0,492.0,787.0,607.32,527.32
7,16087.0,84297.0,550.0,589.0,709.32,703.32
8,16087.0,167694.0,862.0,1115.0,441.32,379.32
9,16087.0,73299.0,627.0,801.0,653.32,723.32
10,16087.0,59326.0,488.0,487.0,518.32,514.32
11,16087.0,9354.0,231.0,486.0,394.32,252.32
12,16087.0,89662.0,668.0,964.0,463.32,123.32
13,16087.0,54180.0,762.0,862.0,495.32,399.32
14,16087.0,95786.0,1029.0,1143.0,363.32,370.32
15,16087.0,13635.0,786.0,955.0,309.32,364.32
16,16087.0,2183.0,561.0,797.0,273.32,251.32
17,16087.0,20356.0,603.0,636.0,159.32,145.32
18,16087.0,148852.0,505.0,696.0,283.32,199.32
19,16087.0,95786.0,112.0,229.0,362.32,453.32
20,16087.0,5917.0,473.0,928.0,229.32,145.32
21,16087.0,332.0,615.0,716.0,236.32,295.32
22,16087.0,13730.0,756.0,1093.0,179.32,372.32
23,16087.0,14.0,150.0,856.0,212.32,108.32
24,16087.0,13730.0,158.0,442.0,316.32,411.32
25,16087.0,14.0,147.0,382.0,333.32,140.32
26,16087.0,38215.0,639.0,691.0,84.32,116.32
27,16087.0,201869.0,150.0,224.0,467.32,519.32
28,16087.0,4470.0,205.0,407.0,503.32,725.32
29,16087.0,38215.0,390.0,427.0,156.32,171.32
30,16087.0,13730.0,440.0,714.0,43.32,113.32
31,16087.0,4470.0,1036.0,1051.0,407.32,414.32
32,16087.0,66411.0,609.0,516.0,478.32,557.32
33,16087.0,3026.0,1198.0,965.0,495.32,756.32
34,16087.0,17782.0,929.0,467.0,583.32,316.32
35,16087.0,2842.0,229.0,141.0,488.32,505.32
36,16087.0,2956.0,994.0,496.0,721.32,741.32
37,16087.0,130205.0,950.0,862.0,677.32,646.32
38,16087.0,79410.0,1032.0,856.0,745.32,762.32
39,16087.0,79410.0,1026.0,1009.0,678.32,689.32
40,16087.0,102533.0,486.0,202.0,337.32,375.32
41,16087.0,79410.0,1037.0,1033.0,498.32,614.32
42,16087.0,2454.0,520.0,729.0,676.32,644.32
43,16087.0,55796.0,489.0,508.0,677.32,690.32
44,16087.0,55796.0,776.0,693.0,600.32,615.32
45,16087.0,1775.0,1103.0,1082.0,308.32,319.32
46,16087.0,88465.0,816.0,1016.0,549.32,421.32
47,16087.0,16492.0,600.0,599.0,115.32,81.32
48,16087.0,204281.0,552.0,656.0,664.32,623.32
49,16087.0,65860.0,399.0,1144.0,443.32,271.32
50,16087.0,39797.0,580.0,484.0,694.32,709.32
51,16087.0,55626.0,748.0,853.0,596.32,295.32
52,16087.0,55626.0,772.0,810.0,120.32,102.32
53,16087.0,39797.0,449.0,351.0,545.32,720.32
54,16087.0,202521.0,424.0,456.0,373.32,572.32
55,16087.0,113551.0,535.0,721.0,687.32,711.32
56,16087.0,202521.0,720.0,719.0,566.32,560.32
57,16087.0,202521.0,901.0,957.0,652.32,661.32
58,16087.0,212244.0,578.0,602.0,679.32,673.32
59,16087.0,113551.0,542.0,829.0,718.32,716.32
60,16087.0,201934.0,492.0,427.0,333.32,286.32
61,16087.0,1641.0,81.0,433.0,503.32,486.32
62,16087.0,13773.0,228.0,401.0,631.32,686.32
63,16087.0,179905.0,322.0,402.0,333.32,320.32
64,16087.0,2122.0,1167.0,972.0,410.32,527.32
65,16087.0,206190.0,874.0,359.0,318.32,172.32
66,16087.0,32128.0,975.0,1104.0,590.32,498.32
67,16087.0,199175.0,1219.0,1094.0,349.32,412.32
68,16087.0,33894.0,150.0,439.0,107.32,201.32
69,16087.0,16344.0,372.0,983.0,109.32,173.32
70,16087.0,1939.0,153.0,415.0,433.32,254.32
71,16087.0,17015.0,1084.0,984.0,676.32,746.32
72,16087.0,150680.0,822.0,530.0,443.32,554.32
73,16087.0,10592.0,973.0,678.0,467.32,497.32
74,16087.0,75357.0,722.0,588.0,539.32,414.32
75,206309.0,96310.0,229.0,417.0,486.32,565.32
76,206309.0,78198.0,255.0,447.0,517.32,605.32
77,206309.0,37911.0,260.0,665.0,645.32,614.32
78,206309.0,96310.0,357.0,547.0,679.32,661.32
79,206309.0,84297.0,238.0,212.0,556.32,538.32
80,206309.0,68597.0,314.0,439.0,761.32,770.32
81,206309.0,35785.0,256.0,846.0,699.32,663.32
82,206309.0,37911.0,546.0,837.0,585.32,502.32
83,206309.0,54689.0,203.0,648.0,742.32,628.32
84,206309.0,37911.0,420.0,613.0,556.32,629.32
85,206309.0,35785.0,370.0,1034.0,645.32,642.32
86,206309.0,68597.0,392.0,470.0,600.32,640.32
87,206309.0,59326.0,848.0,894.0,697.32,689.32
88,206309.0,54180.0,328.0,561.0,587.32,666.32
89,206309.0,167694.0,579.0,759.0,720.32,610.32
90,206309.0,89662.0,466.0,766.0,367.32,307.32
91,206309.0,73299.0,252.0,378.0,428.32,647.32
92,206309.0,167694.0,569.0,726.0,277.32,376.32
93,206309.0,2183.0,545.0,730.0,577.32,582.32
94,206309.0,148852.0,422.0,477.0,335.32,303.32
95,206309.0,68515.0,160.0,665.0,621.32,676.32
96,206309.0,148852.0,63.0,321.0,760.32,778.32
97,206309.0,95786.0,1101.0,1103.0,457.32,454.32
98,206309.0,20356.0,618.0,762.0,463.32,515.32
99,206309.0,2183.0,153.0,419.0,420.32,382.32
100,206309.0,201869.0,163.0,164.0,522.32,667.32
101,206309.0,16386.0,266.0,433.0,444.32,627.32
102,206309.0,332.0,510.0,722.0,394.32,343.32
103,206309.0,332.0,224.0,403.0,543.32,598.32
104,206309.0,201869.0,425.0,436.0,471.32,682.32
105,206309.0,4470.0,586.0,716.0,418.32,504.32
106,206309.0,5917.0,247.0,834.0,248.32,62.32
107,206309.0,3026.0,1100.0,1047.0,416.32,350.32
108,206309.0,53097.0,1017.0,834.0,139.32,69.32
109,206309.0,17782.0,783.0,586.0,121.32,126.32
110,206309.0,19655.0,1108.0,950.0,228.32,351.32
111,206309.0,19655.0,845.0,608.0,664.32,665.32
112,206309.0,130205.0,1012.0,761.0,96.32,165.32
113,206309.0,130205.0,1075.0,885.0,432.32,481.32
114,206309.0,1897.0,787.0,449.0,538.32,588.32
115,206309.0,130205.0,1165.0,1152.0,294.32,264.32
116,206309.0,79410.0,959.0,973.0,382.32,456.32
117,206309.0,95861.0,272.0,964.0,747.32,586.32
118,206309.0,55796.0,414.0,516.0,533.32,540.32
119,206309.0,1775.0,179.0,128.0,705.32,552.32
120,206309.0,2454.0,412.0,510.0,649.32,491.32
121,206309.0,33327.0,160.0,446.0,732.32,751.32
122,206309.0,65860.0,236.0,1113.0,709.32,572.32
123,206309.0,39797.0,307.0,392.0,685.32,722.32
124,206309.0,19278.0,450.0,728.0,577.32,537.32
125,206309.0,204281.0,389.0,720.0,729.32,647.32
126,206309.0,33327.0,383.0,499.0,537.32,609.32
127,206309.0,16381.0,697.0,904.0,764.32,711.32
128,206309.0,16381.0,357.0,808.0,717.32,719.32
129,206309.0,19278.0,610.0,926.0,250.32,131.32
130,206309.0,65860.0,514.0,1165.0,614.32,622.32
131,206309.0,39797.0,298.0,333.0,632.32,734.32
132,206309.0,63828.0,429.0,896.0,495.32,238.32
133,206309.0,143213.0,333.0,618.0,287.32,278.32
134,206309.0,11232.0,181.0,389.0,365.32,228.32
135,206309.0,2054.0,598.0,647.0,176.32,166.32
136,206309.0,2022.0,142.0,318.0,336.32,300.32
137,206309.0,143213.0,591.0,932.0,626.32,498.32
138,206309.0,2022.0,669.0,867.0,145.32,161.32
139,206309.0,122073.0,565.0,564.0,69.32,76.32
140,206309.0,141580.0,686.0,871.0,222.32,250.32
141,206309.0,1641.0,392.0,572.0,644.32,641.32
142,206309.0,32400.0,914.0,790.0,227.32,211.32
143,206309.0,32400.0,656.0,516.0,135.32,129.32
144,206309.0,32400.0,650.0,589.0,135.32,155.32
145,206309.0,124251.0,576.0,198.0,141.32,271.32
146,206309.0,78561.0,1120.0,1104.0,344.32,418.32
147,206309.0,32400.0,1158.0,1164.0,380.32,388.32
148,206309.0,202092.0,65.0,67.0,512.32,538.32
149,11341.0,1818.0,289.0,875.0,482.32,177.32
150,11341.0,68597.0,75.0,435.0,531.32,523.32
151,11341.0,68597.0,166.0,676.0,360.32,567.32
152,11341.0,1818.0,123.0,883.0,378.32,131.32
153,11341.0,35785.0,188.0,644.0,593.32,716.32
154,11341.0,1818.0,111.0,794.0,394.32,136.32
155,11341.0,68597.0,121.0,848.0,489.32,634.32
156,11341.0,148852.0,131.0,162.0,413.32,392.32
157,11341.0,20356.0,136.0,616.0,373.32,154.32
158,11341.0,68515.0,110.0,856.0,477.32,541.32
159,11341.0,13635.0,115.0,803.0,363.32,272.32
160,11341.0,13730.0,124.0,713.0,303.32,378.32
161,11341.0,5917.0,206.0,722.0,335.32,263.32
