playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,goalZone,distance,start_sector,end_sector,playerName
12956,LB,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label52,11.1,8,8,C. Djakpa
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label67,11.24,5,5,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label67,11.24,5,5,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label67,11.24,5,5,H. Seferovic
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label66,9.97,5,5,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label66,9.97,5,5,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,Label66,9.97,5,5,S. Aigner
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,Label66,13.87,12,8,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label66,13.87,12,8,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label66,13.87,12,8,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,Label63,39.46,12,4,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label63,39.46,12,4,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,Label63,39.46,12,4,H. Seferovic
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label52,12.07,8,8,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label52,12.07,8,8,A. Meier
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label57,17.02,8,8,B. Oczipka
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,Label57,17.02,8,8,B. Oczipka
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label57,17.02,8,8,B. Oczipka
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,Label67,30.87,3,8,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,ATRAKTIVAN,0,0,Label67,30.87,3,8,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label67,30.87,3,8,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label96,19.88,8,12,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label96,19.88,8,12,H. Seferovic
1770,LW,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label60,11.98,9,9,S. Huszti
1770,LW,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label60,11.98,9,9,S. Huszti
1770,LW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label60,11.98,9,9,S. Huszti
1770,LW,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,Label96,29.27,11,12,S. Huszti
1770,LW,UDARAC,UDARAC IZVAN OKVIRA,ODLICAN,0,0,Label96,29.27,11,12,S. Huszti
1770,LW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label96,29.27,11,12,S. Huszti
1770,LW,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label96,29.27,11,12,S. Huszti
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label59,5.54,8,8,M. Fabian
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,ODLICAN,0,0,Label59,5.54,8,8,M. Fabian
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label59,5.54,8,8,M. Fabian
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,Label59,5.54,8,8,M. Fabian
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label51,10.57,12,12,M. Stendera
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label51,10.57,12,12,M. Stendera
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label52,27.31,11,8,M. Fabian
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label52,27.31,11,8,M. Fabian
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label52,27.31,11,8,M. Fabian
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label52,27.31,11,8,M. Fabian
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,Label52,27.31,11,8,M. Fabian
1802,ST,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label53,24.67,10,9,A. Meier
1802,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,Label53,24.67,10,9,A. Meier
1802,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label53,24.67,10,9,A. Meier
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label90,6.29,12,12,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label90,6.29,12,12,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label90,6.29,12,12,S. Aigner
1802,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label56,4.59,9,9,A. Meier
1802,ST,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label56,4.59,9,9,A. Meier
22870,CAM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label57,26.52,11,8,M. Fabian
22870,CAM,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label57,26.52,11,8,M. Fabian
22870,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,Label57,26.52,11,8,M. Fabian
1790,RCB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label65,5.74,8,8,M. Russ
1790,RCB,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label65,5.74,8,8,M. Russ
