playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,distance,poss_duration,start_sector,end_sector,playerName,targetName
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,18.26,1.71,12,8,S. Aigner,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,18.26,1.71,12,8,S. Aigner,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,11.16,0.19,12,8,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,11.16,0.19,12,8,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,PO ZEMLJI,0,0,17.97,0.17,12,8,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,LIJEVA NOGA,0,0,17.97,0.17,12,8,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,3.13,0.45,8,8,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,GLAVOM,0,0,3.13,0.45,8,8,H. Seferovic,
196633,LB,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,21.28,0.15,11,8,B. Oczipka,
196633,LB,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,21.28,0.15,11,8,B. Oczipka,
196633,LB,UDARAC,UDARAC U OKVIR,ZONA,0,0,21.28,0.15,11,8,B. Oczipka,
196633,LB,UDARAC,UDARAC U OKVIR,LIJEVA NOGA,0,0,21.28,0.15,11,8,B. Oczipka,
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,29.86,2.21,2,9,A. Ignjovski,
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,29.86,2.21,2,9,A. Ignjovski,
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,29.86,2.21,2,9,A. Ignjovski,
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,29.86,2.21,2,9,A. Ignjovski,
77888,ST,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,20.3,0.21,5,9,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,20.3,0.21,5,9,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,LIJEVA NOGA,0,0,20.3,0.21,5,9,H. Seferovic,
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,11.98,0.82,5,9,A. Ignjovski,
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,11.98,0.82,5,9,A. Ignjovski,
203576,LW,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,1.72,2.33,9,9,M. Gacinovic,
203576,LW,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,1.72,2.33,9,9,M. Gacinovic,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,8.88,0.19,5,5,S. Aigner,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,8.88,0.19,5,5,S. Aigner,
21022,LCB,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,6.33,0.23,5,5,L. Abraham,
