,gameID,actionID,away,home,totalActions,awayTeam,homeTeam
70,6261,115,1.0,4.0,5.0,FC Ingolstadt 04,Borussia Mgladbach
71,6261,116,0.0,1.0,1.0,FC Ingolstadt 04,Borussia Mgladbach
72,6261,117,1.0,0.0,1.0,FC Ingolstadt 04,Borussia Mgladbach
73,6261,118,2.0,1.0,3.0,FC Ingolstadt 04,Borussia Mgladbach
74,6261,211,88.0,80.0,168.0,FC Ingolstadt 04,Borussia Mgladbach
75,6261,212,3.0,3.0,6.0,FC Ingolstadt 04,Borussia Mgladbach
76,6261,213,14.0,6.0,20.0,FC Ingolstadt 04,Borussia Mgladbach
77,6261,214,1.0,0.0,1.0,FC Ingolstadt 04,Borussia Mgladbach
78,6261,232,31.0,23.0,54.0,FC Ingolstadt 04,Borussia Mgladbach
79,6261,247,252.0,380.0,632.0,FC Ingolstadt 04,Borussia Mgladbach
80,6261,248,163.0,178.0,341.0,FC Ingolstadt 04,Borussia Mgladbach
81,6261,260,3.0,4.0,7.0,FC Ingolstadt 04,Borussia Mgladbach
82,6261,261,16.0,13.0,29.0,FC Ingolstadt 04,Borussia Mgladbach
83,6261,262,10.0,2.0,12.0,FC Ingolstadt 04,Borussia Mgladbach
84,6261,274,2.0,4.0,6.0,FC Ingolstadt 04,Borussia Mgladbach
85,6261,275,8.0,6.0,14.0,FC Ingolstadt 04,Borussia Mgladbach
86,6261,276,0.0,1.0,1.0,FC Ingolstadt 04,Borussia Mgladbach
87,6261,371,21.0,32.0,53.0,FC Ingolstadt 04,Borussia Mgladbach
88,6261,375,2.0,0.0,2.0,FC Ingolstadt 04,Borussia Mgladbach
89,6307,1,1.0,2.0,3.0,Hannover 96,Borussia Mgladbach
90,6307,2,11.0,19.0,30.0,Hannover 96,Borussia Mgladbach
91,6307,3,5.0,9.0,14.0,Hannover 96,Borussia Mgladbach
92,6307,4,6.0,4.0,10.0,Hannover 96,Borussia Mgladbach
93,6307,6,9.0,17.0,26.0,Hannover 96,Borussia Mgladbach
94,6307,7,38.0,17.0,55.0,Hannover 96,Borussia Mgladbach
95,6307,10,1.0,1.0,2.0,Hannover 96,Borussia Mgladbach
96,6307,11,8.0,6.0,14.0,Hannover 96,Borussia Mgladbach
97,6307,12,6.0,2.0,8.0,Hannover 96,Borussia Mgladbach
98,6307,13,12.0,4.0,16.0,Hannover 96,Borussia Mgladbach
99,6307,15,85.0,51.0,136.0,Hannover 96,Borussia Mgladbach
100,6307,17,34.0,17.0,51.0,Hannover 96,Borussia Mgladbach
101,6307,18,9.0,13.0,22.0,Hannover 96,Borussia Mgladbach
102,6307,19,22.0,29.0,51.0,Hannover 96,Borussia Mgladbach
103,6307,21,2.0,0.0,2.0,Hannover 96,Borussia Mgladbach
104,6307,22,10.0,11.0,21.0,Hannover 96,Borussia Mgladbach
105,6307,23,9.0,10.0,19.0,Hannover 96,Borussia Mgladbach
106,6307,30,35.0,61.0,96.0,Hannover 96,Borussia Mgladbach
107,6307,31,8.0,9.0,17.0,Hannover 96,Borussia Mgladbach
108,6307,32,1.0,0.0,1.0,Hannover 96,Borussia Mgladbach
109,6307,33,1.0,2.0,3.0,Hannover 96,Borussia Mgladbach
110,6307,63,2.0,0.0,2.0,Hannover 96,Borussia Mgladbach
111,6307,75,1.0,5.0,6.0,Hannover 96,Borussia Mgladbach
112,6307,79,6.0,2.0,8.0,Hannover 96,Borussia Mgladbach
113,6307,80,4.0,0.0,4.0,Hannover 96,Borussia Mgladbach
114,6307,114,1.0,0.0,1.0,Hannover 96,Borussia Mgladbach
115,6307,115,4.0,1.0,5.0,Hannover 96,Borussia Mgladbach
116,6307,116,1.0,0.0,1.0,Hannover 96,Borussia Mgladbach
117,6307,117,3.0,5.0,8.0,Hannover 96,Borussia Mgladbach
118,6307,118,4.0,5.0,9.0,Hannover 96,Borussia Mgladbach
119,6307,156,1.0,2.0,3.0,Hannover 96,Borussia Mgladbach
120,6307,211,87.0,89.0,176.0,Hannover 96,Borussia Mgladbach
121,6307,212,3.0,3.0,6.0,Hannover 96,Borussia Mgladbach
122,6307,213,24.0,14.0,38.0,Hannover 96,Borussia Mgladbach
123,6307,214,0.0,1.0,1.0,Hannover 96,Borussia Mgladbach
124,6307,215,1.0,2.0,3.0,Hannover 96,Borussia Mgladbach
