playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,actionPosX1,actionPosX2,actionPosY1,actionPosY2,start_sector,end_sector,name
126631,RB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,PREKID IGRE,IZGUBLJEN NA LINIJU,126631,1105,972,130.32,246.32,4,7,J. Korb
102647,LCM,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,PREKID IGRE,IZGUBLJEN NA LINIJU,102647,1125,984,675.32,452.32,16,11,G. Xhaka
126631,RWB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN NA LINIJU,126631,148,77,745.32,715.32,13,13,J. Korb
126631,RB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN NA LINIJU,126631,344,204,742.32,693.32,13,13,J. Korb
