,playerID,targetPlayerID,actionPosX1,actionPosX2,actionPosY1,actionPosY2
0,212914.0,16520.0,603.0,222.0,32.32,136.32
1,212914.0,22870.0,569.0,616.0,26.32,122.32
2,212914.0,201624.0,649.0,870.0,32.32,519.32
3,212914.0,1770.0,602.0,515.0,76.32,193.32
4,212914.0,1802.0,978.0,830.0,36.32,80.32
5,212914.0,199745.0,936.0,809.0,270.32,315.32
6,212914.0,199745.0,559.0,637.0,156.32,286.32
7,212914.0,39442.0,610.0,820.0,103.32,237.32
8,212914.0,8570.0,1010.0,1140.0,212.32,343.32
9,212914.0,39442.0,721.0,840.0,122.32,238.32
10,212914.0,1790.0,662.0,703.0,114.32,227.32
11,212914.0,16520.0,782.0,546.0,41.32,97.32
12,212914.0,1802.0,212.0,118.0,156.32,447.32
13,212914.0,8570.0,1023.0,1120.0,253.32,439.32
14,212914.0,16520.0,641.0,490.0,118.32,73.32
15,212914.0,199745.0,382.0,284.0,89.32,141.32
16,212914.0,16520.0,531.0,492.0,96.32,217.32
17,212914.0,1790.0,622.0,467.0,723.32,559.32
18,212914.0,1802.0,567.0,754.0,798.32,712.32
19,212914.0,5335.0,512.0,468.0,758.32,705.32
20,212914.0,5335.0,381.0,402.0,755.32,570.32
21,212914.0,5335.0,510.0,498.0,733.32,567.32
22,212914.0,5335.0,674.0,749.0,758.32,583.32
23,212914.0,199745.0,203.0,413.0,647.32,661.32
24,212914.0,5335.0,762.0,727.0,745.32,614.32
25,212914.0,1790.0,564.0,400.0,748.32,565.32
26,212914.0,1790.0,666.0,496.0,803.32,711.32
27,212914.0,199745.0,646.0,715.0,739.32,597.32
28,212914.0,8570.0,282.0,142.0,701.32,583.32
29,212914.0,8570.0,171.0,122.0,520.32,469.32
30,212914.0,199745.0,854.0,949.0,761.32,666.32
31,212914.0,1802.0,657.0,886.0,798.32,733.32
32,212914.0,8570.0,362.0,213.0,656.32,558.32
33,212914.0,199745.0,1017.0,858.0,765.32,709.32
34,212914.0,1802.0,762.0,935.0,798.32,658.32
35,212914.0,16520.0,894.0,1000.0,757.32,682.32
36,212914.0,199745.0,621.0,663.0,671.32,648.32
37,212914.0,16520.0,614.0,538.0,60.32,61.32
38,212914.0,39442.0,881.0,984.0,280.32,334.32
39,212914.0,1790.0,703.0,742.0,97.32,262.32
40,212914.0,199745.0,812.0,784.0,95.32,221.32
41,212914.0,16520.0,858.0,776.0,141.32,134.32
42,212914.0,39442.0,825.0,865.0,194.32,290.32
43,212914.0,39442.0,422.0,711.0,38.32,123.32
44,212914.0,39442.0,811.0,933.0,107.32,298.32
45,212914.0,16520.0,704.0,558.0,60.32,60.32
46,212914.0,1790.0,725.0,699.0,70.32,190.32
47,212914.0,1770.0,220.0,158.0,42.32,82.32
48,212914.0,8570.0,978.0,1165.0,166.32,251.32
49,212914.0,39442.0,882.0,974.0,117.32,224.32
50,212914.0,39442.0,1109.0,1184.0,117.32,205.32
51,212914.0,1802.0,828.0,629.0,42.32,95.32
52,212914.0,16520.0,187.0,117.0,38.32,97.32
53,212914.0,199745.0,470.0,371.0,28.32,132.32
54,212914.0,199745.0,759.0,725.0,106.32,148.32
55,212914.0,1770.0,436.0,400.0,46.32,120.32
56,212914.0,5335.0,459.0,385.0,46.32,169.32
57,212914.0,8570.0,856.0,1168.0,133.32,201.32
58,212914.0,1770.0,184.0,133.0,47.32,121.32
59,212914.0,39442.0,800.0,971.0,93.32,248.32
60,212914.0,77888.0,616.0,518.0,45.32,100.32
61,212914.0,199745.0,576.0,351.0,62.32,220.32
62,212914.0,8570.0,1094.0,1190.0,120.32,289.32
63,212914.0,39442.0,1251.0,1221.0,164.32,136.32
64,212914.0,8570.0,939.0,1153.0,45.32,305.32
65,212914.0,5335.0,517.0,391.0,49.32,88.32
66,212914.0,8570.0,972.0,1162.0,215.32,331.32
67,212914.0,8570.0,953.0,1115.0,73.32,272.32
68,212914.0,8570.0,989.0,1198.0,134.32,251.32
69,212914.0,39442.0,733.0,819.0,100.32,233.32
70,212914.0,77888.0,440.0,352.0,209.32,85.32
71,212914.0,22870.0,437.0,324.0,115.32,228.32
72,212914.0,8570.0,984.0,1069.0,93.32,234.32
73,212914.0,5335.0,1221.0,1208.0,251.32,168.32
74,212914.0,1770.0,909.0,700.0,74.32,88.32
75,212914.0,199745.0,534.0,394.0,49.32,79.32
76,212914.0,22870.0,966.0,518.0,309.32,319.32
77,212914.0,5335.0,508.0,606.0,112.32,178.32
78,199745.0,21022.0,476.0,420.0,199.32,249.32
79,199745.0,44079.0,869.0,849.0,482.32,366.32
80,199745.0,77888.0,621.0,782.0,588.32,598.32
81,199745.0,5335.0,688.0,569.0,563.32,729.32
82,199745.0,5335.0,687.0,601.0,645.32,753.32
83,199745.0,1802.0,1285.0,1231.0,53.32,343.32
84,199745.0,39442.0,861.0,693.0,566.32,642.32
85,199745.0,1802.0,526.0,629.0,261.32,480.32
86,199745.0,44079.0,569.0,461.0,317.32,281.32
87,199745.0,44079.0,462.0,668.0,350.32,503.32
88,199745.0,44079.0,1288.0,1227.0,786.32,474.32
89,199745.0,196633.0,736.0,1073.0,589.32,64.32
90,199745.0,77888.0,637.0,795.0,613.32,635.32
91,199745.0,1802.0,943.0,1112.0,628.32,353.32
92,199745.0,5335.0,352.0,456.0,699.32,755.32
93,199745.0,1802.0,624.0,622.0,465.32,401.32
94,199745.0,44079.0,634.0,641.0,477.32,326.32
95,199745.0,5335.0,639.0,891.0,634.32,767.32
96,199745.0,39442.0,846.0,1005.0,517.32,306.32
97,199745.0,196633.0,652.0,657.0,614.32,687.32
98,199745.0,196633.0,858.0,989.0,494.32,694.32
99,199745.0,196661.0,811.0,779.0,707.32,744.32
100,199745.0,16520.0,1064.0,1155.0,157.32,109.32
101,199745.0,102895.0,865.0,728.0,302.32,171.32
102,199745.0,196633.0,741.0,594.0,613.32,682.32
103,199745.0,40700.0,924.0,950.0,199.32,199.32
104,199745.0,1802.0,495.0,464.0,387.32,428.32
105,199745.0,57720.0,571.0,657.0,197.32,155.32
106,199745.0,16520.0,589.0,532.0,206.32,96.32
107,199745.0,16520.0,320.0,289.0,241.32,76.32
108,199745.0,1802.0,59.0,150.0,59.32,381.32
109,199745.0,16520.0,498.0,538.0,321.32,214.32
110,199745.0,5335.0,585.0,569.0,98.32,217.32
111,199745.0,40700.0,502.0,466.0,351.32,321.32
112,199745.0,40700.0,183.0,120.0,763.32,383.32
113,199745.0,21022.0,837.0,904.0,585.32,545.32
114,199745.0,196633.0,580.0,585.0,666.32,736.32
115,199745.0,16520.0,599.0,541.0,292.32,198.32
116,199745.0,203576.0,541.0,555.0,351.32,389.32
117,199745.0,40700.0,848.0,736.0,394.32,238.32
118,199745.0,77888.0,330.0,231.0,459.32,554.32
119,199745.0,5335.0,1288.0,1253.0,59.32,69.32
120,199745.0,21022.0,716.0,835.0,631.32,667.32
121,199745.0,44079.0,742.0,769.0,524.32,426.32
122,199745.0,40700.0,652.0,585.0,523.32,483.32
123,199745.0,40700.0,627.0,543.0,569.32,590.32
124,199745.0,44079.0,522.0,500.0,654.32,589.32
125,199745.0,40700.0,797.0,739.0,374.32,242.32
126,199745.0,203576.0,748.0,602.0,361.32,419.32
127,199745.0,203576.0,572.0,427.0,478.32,715.32
128,199745.0,44079.0,1049.0,1062.0,705.32,674.32
129,199745.0,16520.0,340.0,209.0,353.32,261.32
130,199745.0,203576.0,612.0,558.0,592.32,564.32
131,199745.0,196633.0,786.0,815.0,667.32,648.32
132,199745.0,44079.0,880.0,903.0,702.32,685.32
133,199745.0,1790.0,486.0,533.0,96.32,106.32
134,199745.0,77888.0,990.0,902.0,739.32,771.32
135,199745.0,5335.0,757.0,797.0,492.32,140.32
136,199745.0,77888.0,498.0,183.0,143.32,412.32
137,199745.0,16520.0,709.0,588.0,257.32,182.32
138,199745.0,77888.0,243.0,284.0,167.32,180.32
139,199745.0,16520.0,796.0,664.0,108.32,117.32
140,199745.0,196661.0,555.0,501.0,140.32,74.32
141,199745.0,196661.0,583.0,658.0,199.32,186.32
142,199745.0,77888.0,1027.0,855.0,113.32,223.32
143,199745.0,1790.0,738.0,853.0,517.32,356.32
144,199745.0,16520.0,746.0,686.0,147.32,101.32
145,199745.0,196661.0,727.0,857.0,301.32,121.32
146,199745.0,77888.0,336.0,374.0,41.32,103.32
147,199745.0,77888.0,350.0,414.0,56.32,92.32
148,199745.0,8570.0,716.0,1005.0,495.32,461.32
149,199745.0,196661.0,807.0,813.0,241.32,127.32
150,199745.0,196661.0,437.0,260.0,212.32,103.32
151,199745.0,203576.0,566.0,479.0,681.32,742.32
152,199745.0,16520.0,756.0,617.0,639.32,434.32
153,199745.0,1802.0,665.0,497.0,153.32,429.32
154,199745.0,196661.0,903.0,903.0,269.32,201.32
155,199745.0,196661.0,876.0,856.0,237.32,180.32
156,199745.0,16520.0,1002.0,483.0,322.32,109.32
157,199745.0,1770.0,725.0,491.0,449.32,601.32
158,199745.0,1770.0,385.0,184.0,146.32,479.32
159,199745.0,16520.0,897.0,831.0,214.32,175.32
160,199745.0,1770.0,970.0,963.0,693.32,744.32
161,199745.0,77888.0,605.0,450.0,631.32,711.32
162,199745.0,21022.0,540.0,759.0,642.32,687.32
163,199745.0,8570.0,823.0,1124.0,707.32,517.32
164,199745.0,1790.0,755.0,759.0,504.32,328.32
165,199745.0,39442.0,784.0,924.0,362.32,279.32
166,199745.0,77888.0,764.0,635.0,487.32,596.32
167,199745.0,77888.0,872.0,780.0,652.32,564.32
168,199745.0,196633.0,791.0,804.0,727.32,766.32
169,199745.0,1802.0,594.0,512.0,284.32,266.32
170,199745.0,5335.0,471.0,521.0,137.32,77.32
171,199745.0,1802.0,767.0,792.0,129.32,244.32
172,199745.0,1802.0,708.0,712.0,123.32,276.32
173,199745.0,1790.0,767.0,863.0,286.32,301.32
174,199745.0,1770.0,637.0,594.0,198.32,302.32
175,199745.0,5335.0,649.0,738.0,81.32,200.32
176,199745.0,77888.0,732.0,659.0,196.32,120.32
177,199745.0,39442.0,783.0,909.0,160.32,327.32
178,199745.0,16520.0,740.0,568.0,165.32,152.32
179,199745.0,1790.0,650.0,617.0,130.32,267.32
180,199745.0,39442.0,857.0,933.0,475.32,323.32
181,199745.0,1790.0,876.0,798.0,396.32,285.32
182,199745.0,39442.0,796.0,731.0,503.32,276.32
183,199745.0,201624.0,570.0,813.0,661.32,726.32
184,199745.0,16520.0,609.0,491.0,229.32,152.32
185,199745.0,22870.0,879.0,680.0,472.32,209.32
186,199745.0,22870.0,819.0,808.0,391.32,392.32
187,199745.0,16520.0,814.0,736.0,303.32,163.32
188,199745.0,196633.0,778.0,801.0,447.32,667.32
189,199745.0,22870.0,398.0,369.0,518.32,537.32
190,199745.0,212914.0,547.0,541.0,487.32,127.32
191,199745.0,201624.0,608.0,649.0,301.32,523.32
192,199745.0,196633.0,1080.0,1086.0,517.32,619.32
193,199745.0,196633.0,1090.0,1112.0,551.32,686.32
194,199745.0,1790.0,647.0,736.0,297.32,433.32
195,199745.0,16520.0,588.0,533.0,270.32,269.32
196,199745.0,212914.0,633.0,616.0,252.32,121.32
197,199745.0,22870.0,824.0,794.0,320.32,241.32
198,199745.0,1790.0,735.0,832.0,230.32,565.32
199,199745.0,1770.0,739.0,686.0,488.32,509.32
200,199745.0,22870.0,738.0,302.0,198.32,561.32
201,199745.0,1802.0,546.0,250.0,221.32,477.32
202,199745.0,22870.0,932.0,736.0,587.32,370.32
203,199745.0,196633.0,749.0,632.0,313.32,651.32
204,199745.0,16520.0,562.0,482.0,279.32,99.32
205,199745.0,1802.0,831.0,879.0,312.32,559.32
