,playerID,targetPlayerID,actionPosX1,actionPosX2,actionPosY1,actionPosY2
0,199745.0,1770.0,577.0,668.0,206.32,162.32
1,199745.0,22870.0,989.0,953.0,259.32,432.32
2,199745.0,5335.0,591.0,852.0,704.32,767.32
3,199745.0,1770.0,1098.0,1125.0,396.32,447.32
4,199745.0,196633.0,978.0,931.0,503.32,278.32
5,199745.0,1790.0,470.0,392.0,631.32,558.32
6,199745.0,1790.0,484.0,499.0,281.32,349.32
7,199745.0,196633.0,945.0,1037.0,264.32,88.32
8,199745.0,16520.0,700.0,550.0,570.32,718.32
9,199745.0,22870.0,476.0,541.0,529.32,443.32
10,199745.0,1790.0,624.0,684.0,340.32,442.32
11,199745.0,39442.0,486.0,339.0,739.32,602.32
12,199745.0,1790.0,502.0,499.0,744.32,582.32
13,199745.0,39442.0,405.0,395.0,455.32,620.32
14,199745.0,39442.0,400.0,413.0,508.32,708.32
15,199745.0,22870.0,646.0,696.0,432.32,296.32
16,199745.0,16520.0,849.0,1134.0,598.32,766.32
17,199745.0,16520.0,835.0,924.0,436.32,702.32
18,1802.0,57720.0,673.0,413.0,422.32,269.32
19,1802.0,5335.0,713.0,606.0,346.32,384.32
20,1802.0,12956.0,766.0,911.0,200.32,68.32
21,1802.0,5335.0,707.0,549.0,388.32,338.32
22,1802.0,77888.0,389.0,494.0,366.32,372.32
23,1802.0,77888.0,674.0,677.0,419.32,411.32
24,1802.0,77888.0,458.0,542.0,759.32,731.32
25,1802.0,21022.0,471.0,362.0,72.32,154.32
26,1802.0,12956.0,1031.0,1146.0,363.32,314.32
27,1802.0,12956.0,723.0,758.0,218.32,311.32
28,1802.0,5335.0,512.0,531.0,266.32,374.32
29,1802.0,77888.0,675.0,681.0,421.32,409.32
30,1802.0,12956.0,385.0,423.0,283.32,106.32
31,1802.0,21022.0,692.0,447.0,443.32,253.32
32,1802.0,22870.0,940.0,859.0,476.32,470.32
33,1802.0,16520.0,805.0,617.0,643.32,715.32
34,1802.0,1790.0,837.0,721.0,529.32,599.32
35,1802.0,22870.0,943.0,926.0,390.32,286.32
