ID,gameID,actionStartTime,actionEndTime,actionID,bindedActionID,actionOptionID,playerID,playerPositionID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionID,targetPositionIDN,touchNumber,playerTeam,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,refPositionX,refPositionY,startPossTime,endPossTime,gameTimeSection,awayTeamSide,action_duration,poss_duration,start_sector,end_sector,ref_sector,domaci,gosti,domaciFormacija,gostiFormacija,gameDate,gameTime,stadium,referee,climate,luna,temperature,viewers,domaciID,gostiID,homeTeamFormacijaID,awayTeamFormacijaID,Pogodaka_domaci,Score_domaci,Pogodaka_gosti,Score_gosti,Assignments
6257793,6261,191.64,193.93,247,0,0,11341,1,GK,TOCNO DODAVANJE,0,0,206309,14,RCB,2,home,166,310,484.32,577.32,,14.05,0,0.0,191.64,192.57,FirstHalf,right,2.29,0.93,9,9,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257801,6261,196.76,199.69,247,0,0,102647,15,LCM,TOCNO DODAVANJE,0,0,66692,13,LCB,2,home,468,380,457.32,242.32,,19.73,0,0.0,196.76,197.64,FirstHalf,right,2.93,0.88,10,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257805,6261,199.69,201.78,247,0,0,66692,13,LCB,TOCNO DODAVANJE,0,0,4610,2,LB,1,home,372,612,234.32,89.32,,22.94,0,0.0,199.69,199.75,FirstHalf,right,2.09,0.06,6,2,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257843,6261,213.14,213.14,7,0,341,206309,14,RCB,DUEL IGRACA,0,DOBIVEN DUEL - U ZRAKU,84297,11,ST,1,home,469,0,452.32,0.0,,0.0,0,0.0,213.14,213.14,FirstHalf,right,0.0,0.0,10,0,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257846,6261,213.14,214.23,247,0,0,206309,14,RCB,TOCNO DODAVANJE,0,0,102647,15,LCM,1,home,460,562,452.32,312.32,,14.53,0,0.0,213.14,213.21,FirstHalf,right,1.09,0.07,10,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257848,6261,213.14,214.23,19,247,72,206309,14,RCB,OSTALA DODAVANJA,TOCNO DODAVANJE,GLAVOM,102647,15,LCM,1,home,460,562,452.32,312.32,,14.53,0,0.0,213.14,213.21,FirstHalf,right,1.09,0.07,10,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257982,6261,270.12,274.92,247,0,0,102647,15,LCM,TOCNO DODAVANJE,0,0,4610,2,LB,2,home,431,438,580.32,127.32,,38.83,0,0.0,270.12,270.78,FirstHalf,right,4.8,0.66,10,2,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257983,6261,270.12,274.92,15,247,247,102647,15,LCM,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,4610,2,LB,2,home,431,438,580.32,127.32,,38.83,0,0.0,270.12,270.78,FirstHalf,right,4.8,0.66,10,2,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257989,6261,274.92,278.3,247,0,0,4610,2,LB,TOCNO DODAVANJE,0,0,39479,17,LCF,2,home,491,624,96.32,180.32,,12.88,0,0.0,274.92,277.91,FirstHalf,right,3.38,2.99,2,2,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6258055,6261,286.93,288.45,247,0,0,66692,13,LCB,TOCNO DODAVANJE,0,0,206309,14,RCB,1,home,330,416,111.32,247.32,,13.55,0,0.0,286.93,288.45,FirstHalf,right,1.52,1.52,1,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
