sektor,startUkupno,endUkupno
1.0,822.5399999999992,551.7399999999998
2.0,1744.280000000015,1689.7200000000123
3.0,1457.8100000000052,1345.7100000000028
4.0,608.7899999999997,389.90999999999957
5.0,845.579999999994,1235.379999999999
6.0,1422.4300000000062,1605.6200000000113
7.0,1949.5500000000122,1614.8900000000076
8.0,1157.800000000003,1146.1900000000019
9.0,1301.8400000000017,1028.8899999999976
10.0,1576.8100000000024,1522.0900000000072
11.0,1565.8100000000015,2173.9200000000046
12.0,741.5899999999968,891.4299999999948
13.0,562.6499999999994,483.5500000000001
14.0,934.7499999999981,959.2099999999971
15.0,892.3499999999963,949.5799999999987
16.0,359.3300000000003,263.66000000000014
