sektor,startUkupno,endUkupno
1.0,913.8799999999989,975.2299999999973
2.0,1420.3500000000067,1947.9200000000105
3.0,1376.76,1101.6499999999983
4.0,453.43000000000063,428.7799999999998
5.0,1196.8499999999972,1927.9000000000074
6.0,2026.6700000000055,1906.5100000000086
7.0,2102.9300000000057,1956.010000000007
8.0,2352.820000000008,987.479999999999
9.0,1148.2199999999955,1873.8200000000086
10.0,1931.2800000000138,2085.2400000000107
11.0,2296.490000000009,2023.170000000015
12.0,1608.610000000006,932.979999999998
13.0,670.38,689.8700000000006
14.0,1428.7600000000016,2075.510000000009
15.0,1259.7100000000014,1268.2200000000007
16.0,485.7600000000009,420.9900000000005
