,playerID,targetPlayerID,playerPositionIDN,targetPositionIDN,ukupno
0,196633.0,21022.0,LB,LCB,90
1,21022.0,44079.0,LCB,LCM,30
2,44079.0,21022.0,LCM,LCB,16
3,21022.0,196633.0,LCB,LB,117
4,196633.0,196661.0,LB,LW,23
5,196661.0,196633.0,LW,LB,20
6,199745.0,21022.0,RCM,LCB,16
7,21022.0,5335.0,LCB,RB,43
8,5335.0,16520.0,RB,RW,71
9,16520.0,77888.0,RW,ST,40
10,77888.0,199745.0,ST,RCM,24
11,77888.0,1802.0,ST,CAM,20
12,1802.0,16520.0,CAM,RW,16
13,16520.0,199745.0,RW,RCM,33
14,199745.0,44079.0,RCM,LCM,18
15,196661.0,44079.0,LW,LCM,4
16,44079.0,16520.0,LCM,RW,8
17,16520.0,1802.0,RW,CAM,14
18,39442.0,8570.0,RCB,GK,49
19,8570.0,21022.0,GK,LCB,60
20,44079.0,199745.0,LCM,RCM,23
21,199745.0,77888.0,RCM,ST,35
22,199745.0,5335.0,RCM,RB,50
23,5335.0,39442.0,RB,RCB,59
24,39442.0,21022.0,RCB,LCB,80
25,44079.0,39442.0,LCM,RCB,17
26,39442.0,5335.0,RCB,RB,61
27,199745.0,1802.0,RCM,CAM,27
28,8570.0,39442.0,GK,RCB,35
29,21022.0,196661.0,LCB,LW,13
30,196661.0,39442.0,LW,RCB,6
31,39442.0,16520.0,RCB,RW,34
32,16520.0,5335.0,RW,RB,47
33,5335.0,44079.0,RB,LCM,9
34,44079.0,77888.0,LCM,ST,6
35,44079.0,196633.0,LCM,LB,14
36,21022.0,39442.0,LCB,RCB,69
37,44079.0,196661.0,LCM,LW,10
38,196661.0,1802.0,LW,CAM,9
39,196633.0,44079.0,LB,LCM,14
40,39442.0,196633.0,RCB,LB,18
41,21022.0,16520.0,LCB,RW,10
42,5335.0,199745.0,RB,RCM,64
43,199745.0,39442.0,RCM,RCB,29
44,77888.0,16520.0,ST,RW,24
45,5335.0,77888.0,RB,ST,40
46,196633.0,199745.0,LB,RCM,60
47,1802.0,5335.0,CAM,RB,18
48,1802.0,77888.0,CAM,ST,25
49,39442.0,44079.0,RCB,LCM,20
50,196661.0,21022.0,LW,LCB,10
51,77888.0,44079.0,ST,LCM,3
52,39442.0,196661.0,RCB,LW,11
53,196661.0,77888.0,LW,ST,21
54,77888.0,5335.0,ST,RB,31
55,1802.0,44079.0,CAM,LCM,2
56,21022.0,8570.0,LCB,GK,64
57,77888.0,196661.0,ST,LW,10
58,8570.0,196661.0,GK,LW,5
59,8570.0,5335.0,GK,RB,16
60,21022.0,1802.0,LCB,CAM,12
61,1802.0,21022.0,CAM,LCB,5
62,196661.0,5335.0,LW,RB,14
63,5335.0,196661.0,RB,LW,13
64,8570.0,196633.0,GK,LB,23
65,5335.0,8570.0,RB,GK,37
66,8570.0,44079.0,GK,LCM,5
67,196633.0,1802.0,LB,CAM,32
68,1802.0,196661.0,CAM,LW,5
69,44079.0,8570.0,LCM,GK,3
70,199745.0,196633.0,RCM,LB,43
71,21022.0,199745.0,LCB,RCM,43
72,1802.0,199745.0,CAM,RCM,22
73,1802.0,196633.0,CAM,LB,18
74,196633.0,77888.0,LB,ST,45
75,39442.0,199745.0,RCB,RCM,55
76,199745.0,16520.0,RCM,RW,46
77,77888.0,196633.0,ST,LB,22
78,196633.0,16520.0,LB,RW,9
79,8570.0,199745.0,GK,RCM,13
80,39442.0,1802.0,RCB,CAM,9
81,1802.0,39442.0,CAM,RCB,4
82,199745.0,196661.0,RCM,LW,12
83,196661.0,199745.0,LW,RCM,11
84,44079.0,1802.0,LCM,CAM,3
85,44079.0,5335.0,LCM,RB,4
86,5335.0,21022.0,RB,LCB,38
87,196633.0,39442.0,LB,RCB,12
88,8570.0,1802.0,GK,CAM,45
89,16520.0,8570.0,RW,GK,3
90,16520.0,44079.0,RW,LCM,6
91,8570.0,77888.0,GK,ST,33
92,16520.0,196661.0,RW,LW,12
93,16520.0,39442.0,RW,RCB,10
94,16520.0,196633.0,RW,LB,4
95,39442.0,77888.0,RCB,ST,12
96,199745.0,8570.0,RCM,GK,7
97,199745.0,102895.0,RCM,ST,2
98,102895.0,1802.0,ST,CAM,1
99,1802.0,199745.0,CAM,LCM,22
100,199745.0,39442.0,LCM,RCB,29
101,1802.0,40700.0,CAM,RCM,5
102,40700.0,199745.0,RCM,LCM,15
103,5335.0,1802.0,RB,CAM,23
104,199745.0,196633.0,LCM,LB,43
105,21022.0,199745.0,LCB,LCM,43
106,199745.0,196661.0,LCM,LW,12
107,8570.0,16520.0,GK,RW,23
108,16520.0,102895.0,RW,ST,1
109,102895.0,16520.0,ST,RW,2
110,39442.0,40700.0,RCB,RCM,14
111,40700.0,5335.0,RCM,RB,11
112,5335.0,102895.0,RB,ST,1
113,40700.0,16520.0,RCM,RW,19
114,16520.0,40700.0,RW,RCM,13
115,40700.0,39442.0,RCM,RCB,12
116,39442.0,199745.0,RCB,LCM,55
117,199745.0,16520.0,LCM,RW,46
118,199745.0,102895.0,LCM,ST,2
119,196661.0,199745.0,LW,LCM,11
120,199745.0,40700.0,LCM,RCM,17
121,5335.0,199745.0,RB,LCM,64
122,8570.0,40700.0,GK,RCM,6
123,196633.0,8570.0,LB,GK,25
124,5335.0,57720.0,RB,ST,10
125,57720.0,16520.0,ST,RW,5
126,57720.0,1802.0,ST,CAM,6
127,196633.0,5335.0,LB,RB,30
128,16520.0,57720.0,RW,ST,8
129,57720.0,39442.0,ST,RCB,4
130,199745.0,1802.0,LCM,CAM,27
