ID,gameID,actionStartTime,actionEndTime,actionID,actionOptionID,bindedActionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,actionPosX1,actionPosX2,actionPosY1,actionPosY2,distance,start_sector,end_sector,action_duration,poss_duration
6315917,6308,4478.52,4479.93,15,247,247,196633,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,206102,LB,LW,1,514,607,50.32,73.32,7.72,2,2.0,1.41,0.4
6315928,6308,4482.47,4485.14,211,248,248,199745,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,130205,LCM,RCM,1,594,614,230.32,238.32,1.74,2,2.0,2.67,2.67
6315930,6308,4486.06,4488.22,247,0,0,5335,TOCNO DODAVANJE,0,0,57720,RB,ST,2,544,580,253.32,613.32,30.99,2,6.0,2.16,0.0
6315933,6308,4488.22,4496.5,247,0,0,57720,TOCNO DODAVANJE,0,0,5335,ST,RB,8,828,855,671.32,591.32,7.19,7,7.0,8.28,7.75
6316051,6308,4556.71,4563.08,247,0,0,57720,TOCNO DODAVANJE,0,0,40700,ST,RCM,1,561,759,788.32,615.32,21.74,10,7.0,6.37,4.75
6316052,6308,4556.71,4563.08,211,247,247,57720,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,40700,ST,RCM,1,561,759,788.32,615.32,21.74,10,7.0,6.37,4.75
6316053,6308,4556.71,4563.08,15,247,247,57720,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,40700,ST,RCM,1,561,759,788.32,615.32,21.74,10,7.0,6.37,4.75
6316062,6308,4563.08,4564.6,15,248,248,40700,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,130205,RCM,RCM,2,784,874,604.32,605.32,7.23,7,7.0,1.52,1.26
6316129,6308,4597.42,4599.89,247,0,0,21022,TOCNO DODAVANJE,0,0,39442,LCB,RCB,3,377,444,564.32,660.32,9.83,6,6.0,2.47,1.53
6316184,6308,4632.0,4635.33,247,0,0,199745,TOCNO DODAVANJE,0,0,206102,LCM,LW,5,828,868,406.32,333.32,7.03,7,3.0,3.33,2.84
6316191,6308,4635.33,4637.93,247,0,0,206102,TOCNO DODAVANJE,0,0,196633,LW,LB,2,891,960,288.32,183.32,10.57,3,3.0,2.6,0.84
6316229,6308,4638.38,4639.53,247,0,0,196633,TOCNO DODAVANJE,0,0,206101,LB,RB,1,962,1152,177.32,239.32,16.16,3,4.0,1.15,0.0
6316233,6308,4639.53,4641.39,247,0,0,206101,TOCNO DODAVANJE,0,0,199745,RB,LCM,1,1155,1122,251.32,330.32,7.27,4,4.0,1.86,0.77
6316340,6308,4702.69,4704.49,15,248,248,196633,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,198337,LB,CAM,1,520,617,218.32,335.32,12.7,2,2.0,1.8,0.0
6316391,6308,4712.44,4716.47,13,87,0,39442,KORNER,0,IZGUBLJEN KORNER,0,RCB,0,1,181,33,367.32,98.32,25.94,5,1.0,4.03,0.03
6316393,6308,4712.44,4716.47,15,13,13,39442,LOPTA PO ZRAKU,KORNER,KORNER,0,RCB,0,1,181,33,367.32,98.32,25.94,5,1.0,4.03,0.03
6316394,6308,4712.44,4716.47,17,50,13,39442,OBRANA OD PROTIVNIKA,KORNER,BLOK UDARAC,0,RCB,0,1,181,33,367.32,98.32,25.94,5,1.0,4.03,0.03
6316484,6308,4819.49,4820.63,15,248,248,39442,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,1897,RCB,ST,1,504,511,534.32,512.32,1.96,6,6.0,1.14,0.0
