ID,gameID,actionStartTime,actionEndTime,actionID,actionOptionID,bindedActionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,actionPosX1,actionPosX2,actionPosY1,actionPosY2,distance,start_sector,end_sector,action_duration,poss_duration
6601408,6553,1891.82,1893.8,247,0,0,199745,TOCNO DODAVANJE,0,0,1802,LCM,CAM,2,594,512,284.32,266.32,6.76,2,2.0,1.98,1.42
6601413,6553,1893.8,1897.81,15,248,248,1802,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,17015,CAM,RB,1,513,606,269.32,683.32,36.26,2,6.0,4.01,0.15
6601438,6553,1906.5,1910.82,247,0,0,5335,TOCNO DODAVANJE,0,0,196633,RB,LB,4,1155,940,460.32,653.32,23.91,8,7.0,4.32,2.76
6601538,6553,2002.73,2009.12,211,248,248,8570,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,86503,GK,ST,4,1212,622,472.32,147.32,54.98,8,2.0,6.39,2.19
6601551,6553,2025.31,2027.08,247,0,0,21022,TOCNO DODAVANJE,0,0,196633,LCB,LB,1,967,915,623.32,727.32,9.84,7,11.0,1.77,0.15
6601556,6553,2027.08,2030.57,15,248,248,196633,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,2039,LB,RCB,1,919,554,736.32,534.32,34.05,11,6.0,3.49,0.14
6601596,6553,2056.53,2059.93,247,0,0,39442,TOCNO DODAVANJE,0,0,199745,RCB,LCM,3,640,549,257.32,240.32,7.45,2,2.0,3.4,1.33
6601597,6553,2056.53,2059.93,15,247,247,39442,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,199745,RCB,LCM,3,640,549,257.32,240.32,7.45,2,2.0,3.4,1.33
6601610,6553,2069.96,2070.81,247,0,0,5335,TOCNO DODAVANJE,0,0,199745,RB,LCM,1,500,438,39.32,151.32,10.81,2,2.0,0.85,0.14
6601611,6553,2069.96,2070.81,211,247,247,5335,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,199745,RB,LCM,1,500,438,39.32,151.32,10.81,2,2.0,0.85,0.14
6601613,6553,2070.81,2073.13,247,0,0,199745,TOCNO DODAVANJE,0,0,5335,LCM,RB,2,471,521,137.32,77.32,6.52,2,2.0,2.32,1.41
6601614,6553,2073.13,2074.19,247,0,0,5335,TOCNO DODAVANJE,0,0,16520,RB,RW,1,513,434,80.32,76.32,6.35,2,2.0,1.06,0.06
6601616,6553,2074.19,2074.86,247,0,0,16520,TOCNO DODAVANJE,0,0,199745,RW,LCM,1,429,462,76.32,156.32,7.35,2,2.0,0.67,0.13
6601667,6553,2124.08,2129.92,15,248,248,8570,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,53129,GK,LCB,4,1170,587,392.32,308.32,47.39,8,2.0,5.84,2.01
6601687,6553,2163.25,2165.89,247,0,0,5335,TOCNO DODAVANJE,0,0,16520,RB,RW,2,635,555,104.32,73.32,6.95,2,2.0,2.64,2.19
6601688,6553,2165.89,2170.24,247,0,0,16520,TOCNO DODAVANJE,0,0,5335,RW,RB,5,530,308,47.32,85.32,18.13,2,1.0,4.35,2.8
6601692,6553,2170.24,2172.45,211,248,248,5335,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,206251,RB,LB,2,155,151,93.32,104.32,0.99,1,1.0,2.21,2.06
6601731,6553,2238.66,2245.54,247,0,0,16520,TOCNO DODAVANJE,0,0,77888,RW,ST,7,529,413,146.32,275.32,14.46,2,2.0,6.88,5.5
6601752,6553,2259.26,2262.65,247,0,0,21022,TOCNO DODAVANJE,0,0,1790,LCB,RCM,1,768,527,438.32,327.32,21.57,7,2.0,3.39,0.05
6601766,6553,2301.79,2305.78,211,248,248,5335,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,75357,RB,LCM,1,584,237,39.32,224.32,32.07,2,1.0,3.99,0.14
6601776,6553,2312.8,2313.57,211,232,232,5335,NIJE IZGUBLJENA,OUT,OUT,0,RB,0,1,588,598,85.32,28.32,4.95,2,2.0,0.77,0.08
6601807,6553,2329.85,2331.25,247,0,0,196633,TOCNO DODAVANJE,0,0,39442,LB,RCB,1,1186,1177,372.32,250.32,10.48,8,4.0,1.4,0.14
6601808,6553,2329.85,2331.25,17,301,247,196633,OBRANA OD PROTIVNIKA,TOCNO DODAVANJE,OTKLONJENA OPASNOST,39442,LB,RCB,1,1186,1177,372.32,250.32,10.48,8,4.0,1.4,0.14
6601810,6553,2329.85,2331.25,211,247,247,196633,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,39442,LB,RCB,1,1186,1177,372.32,250.32,10.48,8,4.0,1.4,0.14
6601812,6553,2331.25,2333.77,247,0,0,39442,TOCNO DODAVANJE,0,0,16520,RCB,RW,1,1176,960,240.32,105.32,20.86,4,3.0,2.52,0.13
6601813,6553,2331.25,2333.77,15,247,247,39442,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,16520,RCB,RW,1,1176,960,240.32,105.32,20.86,4,3.0,2.52,0.13
6601814,6553,2333.77,2335.07,247,0,0,16520,TOCNO DODAVANJE,0,0,199745,RW,LCM,2,967,986,127.32,166.32,3.67,3,3.0,1.3,0.72
6601822,6553,2380.58,2383.31,247,0,0,1770,TOCNO DODAVANJE,0,0,1790,LW,RCM,1,597,237,607.32,330.32,37.42,6,1.0,2.73,0.14
6601823,6553,2380.58,2383.31,261,98,247,1770,IZVODENJE SLOBODNOG UDARCA,TOCNO DODAVANJE,KOMBINACIJA,1790,LW,RCM,1,597,237,607.32,330.32,37.42,6,1.0,2.73,0.14
6601825,6553,2383.31,2384.73,247,0,0,1790,TOCNO DODAVANJE,0,0,77888,RCM,ST,1,238,237,326.32,162.32,14.05,1,1.0,1.42,0.13
6601827,6553,2383.31,2384.73,211,247,247,1790,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,77888,RCM,ST,1,238,237,326.32,162.32,14.05,1,1.0,1.42,0.13
6601845,6553,2403.82,2411.77,247,0,0,8570,TOCNO DODAVANJE,0,0,199745,GK,LCM,6,1119,888,231.32,139.32,20.16,4,3.0,7.95,4.16
6601848,6553,2403.82,2411.77,211,247,247,8570,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,199745,GK,LCM,6,1119,888,231.32,139.32,20.16,4,3.0,7.95,4.16
6601849,6553,2411.77,2413.87,247,0,0,199745,TOCNO DODAVANJE,0,0,1802,LCM,CAM,2,767,792,129.32,244.32,10.05,3,3.0,2.1,1.13
6601851,6553,2413.98,2415.33,247,0,0,1802,TOCNO DODAVANJE,0,0,199745,CAM,LCM,1,757,729,196.32,110.32,7.7,3,3.0,1.35,0.13
6601852,6553,2415.33,2418.24,247,0,0,199745,TOCNO DODAVANJE,0,0,1802,LCM,CAM,2,708,712,123.32,276.32,13.11,3,3.0,2.91,0.89
6601859,6553,2418.2,2420.69,247,0,0,1802,TOCNO DODAVANJE,0,0,196633,CAM,LB,1,712,734,289.32,660.32,31.84,3,7.0,2.49,0.15
6601860,6553,2418.2,2420.69,15,247,247,1802,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,196633,CAM,LB,1,712,734,289.32,660.32,31.84,3,7.0,2.49,0.15
6601862,6553,2420.69,2422.98,247,0,0,196633,TOCNO DODAVANJE,0,0,1770,LB,LW,2,705,603,705.32,774.32,10.1,11,10.0,2.29,0.96
6601873,6553,2452.08,2453.5,261,98,248,1770,IZVODENJE SLOBODNOG UDARCA,NETOCNO DODAVANJE,KOMBINACIJA,38434,LW,RCM,1,592,274,762.32,454.32,36.74,10,5.0,1.42,0.15
6601890,6553,2454.67,2455.65,15,248,248,5335,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,170341,RB,LW,1,479,443,286.32,365.32,7.36,2,6.0,0.98,0.14
6601944,6553,2517.0,2518.18,247,0,0,5335,TOCNO DODAVANJE,0,0,77888,RB,ST,1,676,538,38.32,122.32,13.22,2,2.0,1.18,0.15
6601945,6553,2517.0,2518.18,211,247,247,5335,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,77888,RB,ST,1,676,538,38.32,122.32,13.22,2,2.0,1.18,0.15
6601984,6553,2550.88,2551.6,247,0,0,196633,TOCNO DODAVANJE,0,0,1790,LB,RCM,2,889,919,650.32,606.32,4.47,7,7.0,0.72,0.44
6601998,6553,2593.42,2595.73,261,98,248,1770,IZVODENJE SLOBODNOG UDARCA,NETOCNO DODAVANJE,KOMBINACIJA,196,LW,GK,1,561,145,542.32,335.32,37.84,6,1.0,2.31,0.16
6602014,6553,2611.62,2613.85,15,248,248,16520,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,38434,RW,RCM,1,759,783,177.32,295.32,10.29,3,3.0,2.23,0.16
6602015,6553,2611.62,2613.85,211,248,248,16520,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,38434,RW,RCM,1,759,783,177.32,295.32,10.29,3,3.0,2.23,0.16
6602029,6553,2615.96,2618.68,247,0,0,1770,TOCNO DODAVANJE,0,0,199745,LW,LCM,4,817,745,396.32,283.32,11.28,7,3.0,2.72,2.17
6602032,6553,2618.68,2620.21,247,0,0,199745,TOCNO DODAVANJE,0,0,1790,LCM,RCM,2,767,863,286.32,301.32,7.82,3,3.0,1.53,0.71
6602033,6553,2620.21,2622.12,247,0,0,1790,TOCNO DODAVANJE,0,0,5335,RCM,RB,1,866,809,293.32,98.32,17.33,3,3.0,1.91,0.09
